Mes,Nome_Mes,Ano,N,Media,DP,EP,IC_inf,IC_sup,Margem
1,Janeiro,2013,1281,19.508196721311474,31.866716618970496,0.8903540805861285,17.76148312889072,21.25491031373223,1.7467135924207524
1,Janeiro,2014,1630,17.70920245398773,22.67392584933703,0.5616075269873573,16.607653475225124,18.810751432750333,1.1015489787626043
1,Janeiro,2015,1699,19.24426133019423,32.85693397826825,0.7971321870511121,17.680796500658133,20.80772615973033,1.5634648295360971
1,Janeiro,2016,1534,19.366362451108213,26.137277519413924,0.6673407872209645,18.057365051052514,20.67535985116391,1.308997400055697
1,Janeiro,2017,1425,17.99719298245614,24.02377668160657,0.6364053910738517,16.748800249013197,19.245585715899086,1.2483927334429443
1,Janeiro,2018,1557,17.333333333333332,24.010896198326016,0.6085048778885188,16.139757254416597,18.526909412250067,1.1935760789167358
1,Janeiro,2019,1821,18.116968698517297,28.151943364566627,0.6597105164497716,16.82309938677748,19.410838010257116,1.2938693117398177
1,Janeiro,2020,1862,16.428571428571427,23.447289599770308,0.5433789486484697,15.36287515514302,17.494267701999835,1.0656962734284074
1,Janeiro,2021,1980,17.055050505050506,26.546697245823623,0.5965926543995871,15.885034809979162,18.225066200121848,1.1700156950713432
1,Janeiro,2022,1722,18.59001161440186,34.04591141074594,0.8204429569676615,16.98084126517608,20.19918196362764,1.6091703492257816
1,Janeiro,2023,1739,19.68890166762507,36.800794068537506,0.8824851351972501,17.95805721866168,21.419746116588463,1.7308444489633923
1,Janeiro,2024,2144,17.30223880597015,24.89466515865432,0.5376428798995462,16.247882631050743,18.356594980889554,1.054356174919407
1,Janeiro,2025,2470,16.568825910931174,26.669100230152534,0.5366113903425015,15.516571075216198,17.62108074664615,1.052254835714975
2,Fevereiro,2013,1415,18.615547703180212,27.278007912330324,0.7251609864715997,17.193040658008172,20.038054748352252,1.4225070451720403
2,Fevereiro,2014,1727,18.11870295309786,24.2319644904734,0.5830992128192961,16.97504751305913,19.262358393136587,1.1436554400387262
2,Fevereiro,2015,1523,17.701904136572555,20.02266561400879,0.5130644727304821,16.69551593282349,18.70829234032162,1.0063882037490655
2,Fevereiro,2016,1747,17.86033199771036,32.9491426727305,0.7883111446087382,16.314198745633927,19.406465249786795,1.5461332520764335
2,Fevereiro,2017,1295,18.046332046332047,31.24351209408318,0.8682103582854048,16.343077871249992,19.749586221414102,1.703254175082055
2,Fevereiro,2018,1477,18.882193635748138,26.16744990921159,0.6808809035665759,17.54659637222654,20.217790899269737,1.335597263521601
2,Fevereiro,2019,1659,16.79807112718505,19.89913276546533,0.4885521812108637,15.839826923664095,17.756315330706006,0.9582442035209562
2,Fevereiro,2020,1781,16.986524424480628,24.400792911529354,0.5781918681947802,15.852518093842155,18.120530755119102,1.1340063306384727
2,Fevereiro,2021,1979,16.911571500757958,22.366439056385563,0.5027753173523555,15.925546630929984,17.89759637058593,0.9860248698279737
2,Fevereiro,2022,1706,16.498827667057444,28.168705183305967,0.6819890018571904,15.161204229864317,17.83645110425057,1.3376234371931273
2,Fevereiro,2023,1769,16.99208592425099,21.34763820166046,0.5075582804180342,15.996608483283726,17.987563365218254,0.9954774409672643
2,Fevereiro,2024,2066,17.984511132623428,22.354133086122562,0.4918046986190505,17.0200263251788,18.948995940068055,0.9644848074446276
2,Fevereiro,2025,2776,17.18227665706052,30.43134803829067,0.5775790873112282,16.049748479451473,18.314804834669566,1.1325281776090472
3,Março,2013,1641,19.471054235222425,32.36729826534285,0.7990098980508449,17.90386699950905,21.0382414709358,1.567187235713375
3,Março,2014,1874,19.143543223052294,35.78210431562315,0.8265727511492514,17.522442828945444,20.764643617159145,1.6211003941068516
3,Março,2015,2101,17.62874821513565,19.33999585866659,0.42193286109678385,16.801298095620737,18.456198334650566,0.8274501195149154
3,Março,2016,1963,18.289862455425368,23.132822045558328,0.5221177612308354,17.265898767601936,19.3138261432488,1.0239636878234322
3,Março,2017,1872,20.49732905982906,53.22761540309089,1.2302236961956476,18.084574109404986,22.910084010253133,2.4127549504240733
3,Março,2018,1850,17.755675675675676,29.67785907559131,0.6899962081018634,16.402422121686065,19.108929229665286,1.353253553989611
3,Março,2019,1719,18.140779522978477,27.7790418079741,0.6700069737202179,16.826664176247913,19.45489486970904,1.3141153467305626
3,Março,2020,1794,18.088628762541806,29.70316907708398,0.7012801851734916,16.713216395122355,19.464041129961256,1.3754123674194498
3,Março,2021,2184,16.791208791208792,26.67105735810896,0.5707079421381559,15.672021251106559,17.910396331311027,1.1191875401022335
3,Março,2022,2279,17.175954365949977,33.73509128194635,0.7066587275161532,15.790192423526248,18.561716308373704,1.3857619424237289
3,Março,2023,2383,17.3449433487201,24.046890037451405,0.4926028228841365,16.378968721153555,18.310917976286646,0.9659746275665471
3,Março,2024,2302,19.42267593397046,31.22518996932936,0.6508073208091054,18.146445711791504,20.698906156149416,1.2762302221789548
3,Março,2025,2558,17.01250977326036,25.058426835111337,0.49545422074263523,16.040977470198843,17.984042076321874,0.9715323030615144
4,Abril,2012,581,19.800344234079173,45.75212148710652,1.8981178378288093,16.07232214777694,23.528366320381405,3.7280220863022318
4,Abril,2013,2693,18.784998143334573,30.243713589944946,0.5827965066648035,17.64222417511186,19.927772111557285,1.1427739682227116
4,Abril,2014,2563,18.492781896215373,24.126994677260353,0.47657244181419245,17.558275589337594,19.427288203093152,0.9345063068777777
4,Abril,2015,2761,18.903658094893153,24.695672133407093,0.46998895011197817,17.982092541116444,19.825223648669862,0.9215655537767093
4,Abril,2016,2619,18.527682321496755,23.710121866563817,0.46330398636625064,17.619203185774882,19.436161457218628,0.9084791357218717
4,Abril,2017,2001,18.907546226886556,25.44423211704348,0.5688081422251818,17.792027668869554,20.023064784903557,1.1155185580170017
4,Abril,2018,2556,18.614632237871675,27.982881353204426,0.5534928388899635,17.52929206047253,19.699972415270818,1.0853401773991427
4,Abril,2019,2779,18.64123785534365,30.03820050555411,0.5698094381721913,17.52394508162042,19.758530629066883,1.1172927737232325
4,Abril,2020,1678,23.14600715137068,27.859508131874453,0.680107346812477,21.81205848846882,24.479955814272536,1.333948662901858
4,Abril,2021,2895,17.81070811744387,28.31243074411077,0.5262024586692111,16.77893873352599,18.84247750136175,1.0317693839178812
4,Abril,2022,2236,19.22898032200358,32.0435299711035,0.6776484559042097,17.90009410232368,20.557866541683477,1.328886219679897
4,Abril,2023,2171,17.28097650852142,23.868076401748937,0.5122565351174017,16.276411836400793,18.285541180642046,1.0045646721206252
4,Abril,2024,2929,18.282348924547627,27.361433668654254,0.5055675184110426,17.291045018436623,19.27365283065863,0.9913039061110023
4,Abril,2025,3114,17.77456647398844,30.870982915085612,0.5532114411044704,16.689870235933707,18.859262712043172,1.084696238054731
5,Maio,2012,1142,18.434325744308232,23.20930512475714,0.686798101738591,17.086796777232188,19.781854711384277,1.3475289670760462
5,Maio,2013,1177,18.320305862361938,22.277017623373265,0.6493350066686473,17.04632144626253,19.594290278461344,1.2739844160994054
5,Maio,2014,1363,20.025678650036685,41.392484981658974,1.121175430309465,17.82626066557692,22.22509663449645,2.1994179844597626
5,Maio,2015,1189,19.089991589571067,22.429526199602385,0.6504728470575596,17.81378803050832,20.366195148633814,1.2762035590627463
5,Maio,2016,1079,19.958294717330862,26.500728509996787,0.806765077474361,18.375286874845465,21.54130255981626,1.5830078424853962
5,Maio,2017,1279,19.71618451915559,22.646877148641142,0.6332468701710466,18.473866908758843,20.958502129552336,1.2423176103967455
5,Maio,2018,909,20.71947194719472,34.074734289521174,1.1301875954865708,18.501388325293966,22.937555569095473,2.2180836219007545
