Mês,Mês_Número,N,Média,Mediana,Desvio_Padrão,Mínimo,Máximo
Janeiro,1,33874,18.040443998346813,10.0,27.889578923229497,1.0,998.0
Fevereiro,2,33520,17.653908114558472,10.0,26.155738879525607,1.0,1290.0
Março,3,40054,18.281594846956608,10.0,32.32458596496547,1.0,2442.0
Abril,4,50884,18.825858816130808,11.0,31.32330599657259,1.0,2717.0
Maio,5,33036,19.27933163821286,12.0,30.29777564359088,1.0,1250.0
Junho,6,49253,19.210850100501492,11.0,33.20474255523424,1.0,1500.0
Julho,7,45156,18.519643015324654,11.0,27.831511181622282,1.0,1484.0
Agosto,8,41479,18.742134574121845,11.0,29.019574140356376,1.0,1127.0
Setembro,9,37966,18.80867091608281,10.0,33.431387002583016,1.0,2403.0
Outubro,10,44353,19.386287286091132,11.0,35.52995210863352,1.0,2349.0
Novembro,11,27636,19.386633376754958,11.0,32.2619008284529,1.0,2266.0
Dezembro,12,43279,20.69613438388133,12.0,37.46103259467586,1.0,2690.0
