coluna,tipo_python,categoria_tipo,valores_totais,valores_validos,valores_nulos,percentual_preenchimento,valores_unicos,taxa_unica,minimo,maximo,amplitude,intervalo_textual,media,mediana,moda,desvio_padrao,variancia,coeficiente_variacao_pct,assimetria,curtose,quartil_25,quartil_50,quartil_75,amplitude_interquartil,limite_inferior_iqr,limite_superior_iqr,range_iqr,soma,produto,percentil_5,percentil_95,valores_top_5,frequencia_top,comprimento_min,comprimento_max,comprimento_medio,comprimento_desvio,diversidade,valor_mais_frequente,frequencia_maxima
nr_gta,int64,NUMÉRICO,8298490,8298490,0,100.0,1000037,12.05,1.0,66760816.0,66760815.0,"[1, 66760816]",495154.242833,494142.0,1.0,292886.032366,85782227955.29388,59.1505,3.8019,763.0866,241954.0,494142.0,747016.0,505062.0,-515639.0,1504609.0,"[241954.0, 747016.0]",4109032532611.0,,47759.0,949094.0,,,,,,,,,
nr_serie,object,CATEGÓRICO,8298490,8298490,0,100.0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,"{'B': 538325, 'C': 532592, 'A': 526540, 'L': 488731, 'D': 486189}",538325.0,1.0,1.0,1.0,0.0,0.0,B,538325.0
id_gta,int64,NUMÉRICO,8298490,8298490,0,100.0,8298490,100.0,6.0,18222380.0,18222374.0,"[6, 18222380]",8884345.94791,8867650.5,6.0,5384281.599339,28990488340985.793,60.6041,0.0416,-1.252,3977937.5,8867650.5,13582637.75,9604700.25,-10429112.875,27989688.125,"[3977937.5, 13582637.75]",73726656005270.0,,804909.45,17324898.65,,,,,,,,,
dt_emissao_gta,object,CATEGÓRICO,8298490,8298490,0,100.0,8265293,99.6,,,,,,,,,,,,,,,,,,,,,,,,"{'2012-04-19 00:00:00.0': 1734, '2012-04-18 00:00:00.0': 1296, '2012-08-30 00:00:00.0': 450, '2019-06-01 00:00:00.0': 396, '2013-09-16 00:00:00.0': 329}",1734.0,21.0,23.0,22.88,0.36,0.996,2012-04-19 00:00:00.0,1734.0
cod_produtor_origem,int64,NUMÉRICO,8298490,8298490,0,100.0,457250,5.51,1.0,3393952.0,3393951.0,"[1, 3393952]",888869.501823,292427.0,77922.0,1239689.465813,1536829971647.521,139.4681,1.2793,-0.2935,114079.0,292427.0,493067.0,378988.0,-454403.0,1061549.0,"[114079.0, 493067.0]",7376274672186.0,,20364.0,3252497.0,,,,,,,,,
cod_produtor_destino,int64,NUMÉRICO,8298490,8298490,0,100.0,416349,5.02,2.0,3394030.0,3394028.0,"[2, 3394030]",1040173.137405,321829.0,17348.0,1330489.932537,1770203460581.5745,127.9104,0.9724,-0.9998,112718.0,321829.0,3070554.0,2957836.0,-4324036.0,7507308.0,"[112718.0, 3070554.0]",8631866379023.0,,18601.0,3274498.0,,,,,,,,,
id_tipo_finalidade_gta,int64,NUMÉRICO,8298490,8298490,0,100.0,14,0.0,2.0,37.0,35.0,"[2, 37]",13.697577,8.0,2.0,11.793695,139.091247,86.1006,0.4719,-1.3056,2.0,8.0,30.0,28.0,-40.0,72.0,"[2.0, 30.0]",113669204.0,,2.0,30.0,,,,,,,,,
ds_meio_transporte,object,CATEGÓRICO,8298490,8298490,0,100.0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,"{'RODOVIÁRIO': 7322115, 'A PÉ': 968445, 'FERROVIÁRIO': 4297, 'MARÍTIMO/FLUVIAL': 2938, 'AÉREO': 695}",7322115.0,4.0,16.0,9.3,1.93,0.0,RODOVIÁRIO,7322115.0
cod_municipio_origem,int64,NUMÉRICO,8298490,8298490,0,100.0,853,0.01,3100104.0,3172202.0,72098.0,"[3100104, 3172202]",3137643.716523,3137536.0,3127107.0,21107.854441,445541519.122536,0.6727,-0.0651,-1.1021,3120805.0,3137536.0,3154200.0,33395.0,3070712.5,3204292.5,"[3120805.0, 3154200.0]",26037705005125.0,,3103900.0,3170206.0,,,,,,,,,
nome_municipio_origem,object,CATEGÓRICO,8298490,8298490,0,100.0,853,0.01,,,,,,,,,,,,,,,,,,,,,,,,"{'FRUTAL': 284929, 'UBERLÂNDIA': 236250, 'PATOS DE MINAS': 198900, 'PRATA': 166060, 'UBERABA': 163394}",284929.0,3.0,30.0,10.75,4.73,0.0001,FRUTAL,284929.0
