coluna,tipo_python,categoria_tipo,valores_totais,valores_validos,valores_nulos,percentual_preenchimento,valores_unicos,taxa_unica,minimo,maximo,amplitude,intervalo_textual,media,mediana,moda,desvio_padrao,variancia,coeficiente_variacao_pct,assimetria,curtose,quartil_25,quartil_50,quartil_75,amplitude_interquartil,limite_inferior_iqr,limite_superior_iqr,range_iqr,soma,produto,percentil_5,percentil_95,valores_top_5,frequencia_top,comprimento_min,comprimento_max,comprimento_medio,comprimento_desvio,diversidade,valor_mais_frequente,frequencia_maxima
nr_gta,int64,NUMÉRICO,8363167,8363167,0,100.0,1000067,11.96,1.0,66760816.0,66760815.0,"[1, 66760816]",495055.458761,493920.0,1.0,293024.485431,85863349061.85356,59.1902,3.7872,756.2359,241777.0,493920.0,746996.0,505219.0,-516051.5,1504824.5,"[241777.0, 746996.0]",4140231475884.0,,47705.3,949077.0,,,,,,,,,
nr_serie,object,CATEGÓRICO,8363167,8363167,0,100.0,51,0.0,,,,,,,,,,,,,,,,,,,,,,,,"{'B': 538325, 'C': 532592, 'A': 526540, 'L': 488731, 'D': 486189}",538325.0,1.0,2.0,1.01,0.09,0.0,B,538325.0
id_gta,int64,NUMÉRICO,8363167,8363167,0,100.0,8330547,99.61,6.0,18222380.0,18222374.0,"[6, 18222380]",8816874.993771,8791998.0,10.0,5417607.98866,29350476318791.887,61.4459,0.0456,-1.2544,3871568.0,8791998.0,13542842.0,9671274.0,-10635343.0,28049753.0,"[3871568.0, 13542842.0]",73736997991033.0,,691953.6,17317988.7,,,,,,,,,
dt_emissao_gta,object,CATEGÓRICO,8363167,8363167,0,100.0,8268228,98.86,,,,,,,,,,,,,,,,,,,,,,,,"{'2012-04-19 00:00:00.0': 1753, '2012-04-18 00:00:00.0': 1297, '2012-08-30 00:00:00.0': 456, '2019-06-01 00:00:00.0': 396, '2013-09-16 00:00:00.0': 338}",1753.0,21.0,23.0,22.87,0.4,0.9886,2012-04-19 00:00:00.0,1753.0
cod_produtor_origem,int64,NUMÉRICO,8363167,8363167,0,100.0,464877,5.56,1.0,3393952.0,3393951.0,"[1, 3393952]",882199.671698,290281.0,77922.0,1237197.609981,1530657926143.3528,140.2401,1.2906,-0.2632,110921.0,290281.0,491227.0,380306.0,-459538.0,1061686.0,"[110921.0, 491227.0]",7377983181752.0,,19506.0,3252072.0,,,,,,,,,
cod_produtor_destino,int64,NUMÉRICO,8363167,8363167,0,100.0,416822,4.98,2.0,3394030.0,3394028.0,"[2, 3394030]",1041702.10837,322326.0,17348.0,1331310.524369,1772387712296.5276,127.8015,0.9697,-1.0051,112684.0,322326.0,3071041.0,2958357.0,-4324851.5,7508576.5,"[112684.0, 3071041.0]",8711928696548.0,,18601.0,3274939.0,,,,,,,,,
id_tipo_finalidade_gta,int64,NUMÉRICO,8363167,8363167,0,100.0,14,0.0,2.0,37.0,35.0,"[2, 37]",13.627833,8.0,2.0,11.788905,138.978273,86.5061,0.4822,-1.2964,2.0,8.0,30.0,28.0,-40.0,72.0,"[2.0, 30.0]",113971845.0,,2.0,30.0,,,,,,,,,
ds_meio_transporte,object,CATEGÓRICO,8363167,8298490,64677,99.23,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,"{'RODOVIÁRIO': 7322115, 'A PÉ': 968445, 'FERROVIÁRIO': 4297, 'MARÍTIMO/FLUVIAL': 2938, 'AÉREO': 695}",7322115.0,4.0,16.0,9.3,1.93,0.0,RODOVIÁRIO,7322115.0
cod_municipio_origem,int64,NUMÉRICO,8363167,8363167,0,100.0,3009,0.04,1100015.0,5300108.0,4200093.0,"[1100015, 5300108]",3142885.157097,3137809.0,3127107.0,123939.19551,15360924183.6369,3.9435,10.3163,226.199,3120805.0,3137809.0,3154309.0,33504.0,3070549.0,3204565.0,"[3120805.0, 3154309.0]",26284473430623.0,,3103504.0,3170206.0,,,,,,,,,
nome_municipio_origem,object,CATEGÓRICO,8363167,8363167,0,100.0,2955,0.04,,,,,,,,,,,,,,,,,,,,,,,,"{'FRUTAL': 284929, 'UBERLÂNDIA': 236250, 'PATOS DE MINAS': 198900, 'PRATA': 166060, 'UBERABA': 163394}",284929.0,3.0,32.0,10.76,4.73,0.0004,FRUTAL,284929.0
