modelo,H (m),V (m/s),g (m/s²),dt (s),c (1/s)
resistencia_linear,100.0000,0.0000,9.8100,1.0000,0.0100
resistencia_linear,100.0000,0.0000,9.8100,0.5000,0.0100
resistencia_linear,100.0000,0.0000,9.8100,0.1000,0.0100
resistencia_linear,100.0000,0.0000,9.8100,0.0100,0.0100
resistencia_linear,100.0000,0.0000,9.8100,0.0010,0.0100
resistencia_linear,100.0000,0.0000,9.8100,1.0000,0.1000
resistencia_linear,100.0000,0.0000,9.8100,0.5000,0.1000
resistencia_linear,100.0000,0.0000,9.8100,0.1000,0.1000
resistencia_linear,100.0000,0.0000,9.8100,0.0100,0.1000
resistencia_linear,100.0000,0.0000,9.8100,0.0010,0.1000
resistencia_linear,100.0000,0.0000,9.8100,1.0000,2.0000
resistencia_linear,100.0000,0.0000,9.8100,0.5000,2.0000
resistencia_linear,100.0000,0.0000,9.8100,0.1000,2.0000
resistencia_linear,100.0000,0.0000,9.8100,0.0100,2.0000
resistencia_linear,100.0000,0.0000,9.8100,0.0010,2.0000
resistencia_linear,100.0000,0.0000,9.8100,1.0000,10.0000
resistencia_linear,100.0000,0.0000,9.8100,0.5000,10.0000
resistencia_linear,100.0000,0.0000,9.8100,0.1000,10.0000
resistencia_linear,100.0000,0.0000,9.8100,0.0100,10.0000
resistencia_linear,100.0000,0.0000,9.8100,0.0010,10.0000
