tempo,posicao,velocidade,aceleracao
0.0000,100.0000,0.0000,-9.8100
0.0010,100.0000,-0.0098,-9.8110
0.0020,100.0000,-0.0196,-9.8120
0.0030,100.0000,-0.0294,-9.8129
0.0040,99.9999,-0.0392,-9.8139
0.0050,99.9999,-0.0491,-9.8149
0.0060,99.9999,-0.0589,-9.8159
0.0070,99.9998,-0.0687,-9.8169
0.0080,99.9997,-0.0785,-9.8179
0.0090,99.9996,-0.0883,-9.8188
0.0100,99.9996,-0.0981,-9.8198
0.0110,99.9995,-0.1080,-9.8208
0.0120,99.9994,-0.1178,-9.8218
0.0130,99.9992,-0.1276,-9.8228
0.0140,99.9991,-0.1374,-9.8237
0.0150,99.9990,-0.1473,-9.8247
0.0160,99.9988,-0.1571,-9.8257
0.0170,99.9987,-0.1669,-9.8267
0.0180,99.9985,-0.1767,-9.8277
0.0190,99.9983,-0.1866,-9.8287
0.0200,99.9981,-0.1964,-9.8296
0.0210,99.9979,-0.2062,-9.8306
0.0220,99.9977,-0.2160,-9.8316
0.0230,99.9975,-0.2259,-9.8326
0.0240,99.9973,-0.2357,-9.8336
0.0250,99.9971,-0.2455,-9.8346
0.0260,99.9968,-0.2554,-9.8355
0.0270,99.9966,-0.2652,-9.8365
0.0280,99.9963,-0.2751,-9.8375
0.0290,99.9960,-0.2849,-9.8385
0.0300,99.9957,-0.2947,-9.8395
0.0310,99.9954,-0.3046,-9.8405
0.0320,99.9951,-0.3144,-9.8414
0.0330,99.9948,-0.3242,-9.8424
0.0340,99.9945,-0.3341,-9.8434
0.0350,99.9942,-0.3439,-9.8444
0.0360,99.9938,-0.3538,-9.8454
0.0370,99.9935,-0.3636,-9.8464
0.0380,99.9931,-0.3735,-9.8473
0.0390,99.9927,-0.3833,-9.8483
0.0400,99.9923,-0.3932,-9.8493
0.0410,99.9919,-0.4030,-9.8503
0.0420,99.9915,-0.4129,-9.8513
0.0430,99.9911,-0.4227,-9.8523
0.0440,99.9907,-0.4326,-9.8533
0.0450,99.9903,-0.4424,-9.8542
0.0460,99.9898,-0.4523,-9.8552
0.0470,99.9894,-0.4621,-9.8562
