tempo,posicao,velocidade,aceleracao
0.0000,100.0000,0.0000,-9.8100
0.0010,100.0000,-0.0098,-9.9081
0.0020,100.0000,-0.0197,-10.0072
0.0030,100.0000,-0.0297,-10.1073
0.0040,99.9999,-0.0398,-10.2083
0.0050,99.9999,-0.0500,-10.3104
0.0060,99.9999,-0.0604,-10.4135
0.0070,99.9998,-0.0708,-10.5176
0.0080,99.9997,-0.0813,-10.6228
0.0090,99.9996,-0.0919,-10.7291
0.0100,99.9995,-0.1026,-10.8363
0.0110,99.9994,-0.1135,-10.9447
0.0120,99.9993,-0.1244,-11.0542
0.0130,99.9992,-0.1355,-11.1647
0.0140,99.9991,-0.1466,-11.2763
0.0150,99.9989,-0.1579,-11.3891
0.0160,99.9988,-0.1693,-11.5030
0.0170,99.9986,-0.1808,-11.6180
0.0180,99.9984,-0.1924,-11.7342
0.0190,99.9982,-0.2042,-11.8515
0.0200,99.9980,-0.2160,-11.9701
0.0210,99.9978,-0.2280,-12.0898
0.0220,99.9976,-0.2401,-12.2107
0.0230,99.9973,-0.2523,-12.3328
0.0240,99.9971,-0.2646,-12.4561
0.0250,99.9968,-0.2771,-12.5807
0.0260,99.9965,-0.2896,-12.7065
0.0270,99.9963,-0.3024,-12.8335
0.0280,99.9959,-0.3152,-12.9619
0.0290,99.9956,-0.3281,-13.0915
0.0300,99.9953,-0.3412,-13.2224
0.0310,99.9950,-0.3545,-13.3546
0.0320,99.9946,-0.3678,-13.4882
0.0330,99.9942,-0.3813,-13.6230
0.0340,99.9939,-0.3949,-13.7593
0.0350,99.9935,-0.4087,-13.8969
0.0360,99.9931,-0.4226,-14.0358
0.0370,99.9926,-0.4366,-14.1762
0.0380,99.9922,-0.4508,-14.3180
0.0390,99.9917,-0.4651,-14.4611
0.0400,99.9913,-0.4796,-14.6058
0.0410,99.9908,-0.4942,-14.7518
0.0420,99.9903,-0.5089,-14.8993
0.0430,99.9898,-0.5238,-15.0483
0.0440,99.9893,-0.5389,-15.1988
0.0450,99.9887,-0.5541,-15.3508
0.0460,99.9882,-0.5694,-15.5043
0.0470,99.9876,-0.5849,-15.6593
0.0480,99.9870,-0.6006,-15.8159
0.0490,99.9864,-0.6164,-15.9741
0.0500,99.9858,-0.6324,-16.1338
0.0510,99.9852,-0.6485,-16.2952
0.0520,99.9845,-0.6648,-16.4581
0.0530,99.9839,-0.6813,-16.6227
0.0540,99.9832,-0.6979,-16.7889
0.0550,99.9825,-0.7147,-16.9568
0.0560,99.9818,-0.7316,-17.1264
0.0570,99.9810,-0.7488,-17.2977
0.0580,99.9803,-0.7661,-17.4706
0.0590,99.9795,-0.7835,-17.6453
0.0600,99.9787,-0.8012,-17.8218
0.0610,99.9779,-0.8190,-18.0000
0.0620,99.9771,-0.8370,-18.1800
0.0630,99.9763,-0.8552,-18.3618
0.0640,99.9754,-0.8735,-18.5454
0.0650,99.9746,-0.8921,-18.7309
0.0660,99.9737,-0.9108,-18.9182
0.0670,99.9728,-0.9297,-19.1074
0.0680,99.9718,-0.9488,-19.2984
0.0690,99.9709,-0.9681,-19.4914
0.0700,99.9699,-0.9876,-19.6863
0.0710,99.9689,-1.0073,-19.8832
0.0720,99.9679,-1.0272,-20.0820
0.0730,99.9669,-1.0473,-20.2829
0.0740,99.9658,-1.0676,-20.4857
0.0750,99.9648,-1.0881,-20.6906
0.0760,99.9637,-1.1087,-20.8975
0.0770,99.9626,-1.1296,-21.1064
0.0780,99.9614,-1.1507,-21.3175
0.0790,99.9603,-1.1721,-21.5307
