dt,tempo_final,v_final_num,v_final_analitico,erro_relativo
0.001000,4.201000,-51.216224,51.219360,1.999939
0.011000,4.213000,-51.364039,51.398651,1.999327
0.021000,4.221000,-51.452093,51.518297,1.998715
0.031000,4.247000,-51.809299,51.907811,1.998102
0.041000,4.264000,-52.032108,52.163041,1.997490
0.051000,4.233000,-51.536887,51.697947,1.996885
0.061000,4.270000,-52.058333,52.253226,1.996270
0.071000,4.260000,-51.877036,52.102948,1.995664
0.081000,4.293000,-52.339052,52.599437,1.995050
0.091000,4.277000,-52.067758,52.358510,1.994447
0.101000,4.343000,-53.025227,53.354821,1.993823
0.111000,4.329000,-52.782653,53.142932,1.993221
0.121000,4.356000,-53.155892,53.551840,1.992606
0.131000,4.323000,-52.628513,53.052214,1.992014
0.141000,4.371000,-53.316524,53.779488,1.991391
0.151000,4.379000,-53.404319,53.901041,1.990785
0.161000,4.347000,-52.891742,53.415415,1.990196
0.171000,4.446000,-54.348803,54.922867,1.989548
0.181000,4.344000,-52.782721,53.369967,1.988997
0.191000,4.393000,-53.484726,54.113991,1.988371
0.201000,4.422000,-53.888054,54.556052,1.987756
0.211000,4.431000,-53.990752,54.693505,1.987151
0.221000,4.420000,-53.792655,54.525524,1.986559
0.231000,4.389000,-53.295378,54.053118,1.985982
0.241000,4.579000,-56.131813,56.971665,1.985258
0.251000,4.518000,-55.171430,56.028607,1.984701
0.261000,4.437000,-53.917539,54.785208,1.984162
0.271000,4.607000,-56.455834,57.406474,1.983440
0.281000,4.496000,-54.739199,55.689897,1.982929
0.291000,4.656000,-57.135219,58.170326,1.982206
0.301000,4.515000,-54.959332,55.982376,1.981726
0.311000,4.665000,-57.203345,58.311033,1.981004
0.321000,4.494000,-54.577099,55.659142,1.980559
0.331000,4.634000,-56.661193,57.826909,1.979841
0.341000,4.433000,-53.598750,54.724066,1.979437
0.351000,4.563000,-55.516908,56.723749,1.978724
0.361000,4.693000,-57.457432,58.749597,1.978006
0.371000,4.452000,-53.785606,55.014708,1.977659
0.381000,4.572000,-55.552383,56.863153,1.976949
0.391000,4.692000,-57.337981,58.733913,1.976233
0.401000,4.812000,-59.142581,60.627257,1.975511
0.411000,4.521000,-54.686829,56.074853,1.975247
0.421000,4.631000,-56.308912,57.780138,1.974538
0.431000,4.741000,-57.946635,59.504285,1.973823
0.441000,4.851000,-59.600133,61.247502,1.973103
0.451000,4.510000,-54.392149,55.905354,1.972933
0.461000,4.610000,-55.857563,57.453133,1.972228
0.471000,4.710000,-57.335639,59.016468,1.971519
0.481000,4.810000,-58.826474,60.595515,1.970806
0.491000,4.910000,-60.330166,62.190431,1.970088
0.501000,5.010000,-61.846813,63.801377,1.969365
0.511000,4.599000,-55.526216,57.282119,1.969346
0.521000,4.689000,-56.846651,58.686870,1.968643
0.531000,4.779000,-58.177164,60.104321,1.967936
0.541000,4.869000,-59.517824,61.534586,1.967226
0.551000,4.959000,-60.868697,62.977782,1.966511
0.561000,5.049000,-62.229852,64.434025,1.965792
0.571000,4.568000,-54.866944,56.801180,1.965947
0.581000,4.648000,-56.028419,58.045360,1.965252
0.591000,4.728000,-57.197603,59.299533,1.964554
0.601000,4.808000,-58.374540,60.563779,1.963852
0.611000,4.888000,-59.559274,61.838180,1.963147
0.621000,4.968000,-60.751850,63.122817,1.962439
0.631000,5.048000,-61.952312,64.417773,1.961727
0.641000,5.128000,-63.160705,65.723129,1.961012
0.651000,5.208000,-64.377072,67.038971,1.960293
0.661000,4.627000,-55.451694,57.717799,1.960738
0.671000,4.697000,-56.462754,58.812350,1.960049
0.681000,4.767000,-57.479515,59.914589,1.959358
0.691000,4.837000,-58.502004,61.024572,1.958663
0.701000,4.907000,-59.530247,62.142352,1.957966
0.711000,4.977000,-60.564272,63.267983,1.957266
0.721000,5.047000,-61.604105,64.401522,1.956563
0.731000,5.117000,-62.649774,65.543023,1.955857
0.741000,5.187000,-63.701306,66.692543,1.955149
0.751000,5.257000,-64.758729,67.850137,1.954438
0.761000,5.327000,-65.822069,69.015864,1.953724
0.771000,5.397000,-66.891355,70.189779,1.953007
0.781000,5.467000,-67.966614,71.371940,1.952288
0.791000,4.746000,-56.795629,59.583107,1.953217
0.801000,4.806000,-57.658876,60.532050,1.952535
0.811000,4.866000,-58.526128,61.486703,1.951850
0.821000,4.926000,-59.397400,62.447101,1.951163
0.831000,4.986000,-60.272708,63.413280,1.950475
0.841000,5.046000,-61.152066,64.385272,1.949783
0.851000,5.106000,-62.035488,65.363115,1.949090
0.861000,5.166000,-62.922991,66.346842,1.948395
0.871000,5.226000,-63.814589,67.336489,1.947697
0.881000,5.286000,-64.710297,68.332091,1.946997
0.891000,5.346000,-65.610131,69.333686,1.946295
0.901000,5.406000,-66.514105,70.341308,1.945591
0.911000,5.466000,-67.422235,71.354994,1.944885
0.921000,5.526000,-68.334536,72.374780,1.944176
0.931000,5.586000,-69.251024,73.400703,1.943465
0.941000,5.646000,-70.171713,74.432801,1.942753
0.951000,5.706000,-71.096619,75.471109,1.942038
0.961000,5.766000,-72.025758,76.515666,1.941320
0.971000,4.855000,-57.819374,61.311254,1.943047
0.981000,4.905000,-58.531268,62.110306,1.942376
0.991000,4.955000,-59.245761,62.913364,1.941704
