dt,tempo_final,v_final_num,v_final_analitico,erro_relativo
0.001000,1.912000,-218.824153,219.680188,1.996103
0.011000,1.936000,-221.036846,230.723189,1.958017
0.021000,1.953000,-220.174984,238.872297,1.921727
0.031000,1.984000,-225.561647,254.464865,1.886416
0.041000,2.009000,-228.319832,267.763042,1.852694
0.051000,2.040000,-233.822688,285.203530,1.819845
0.061000,2.074000,-240.789903,305.617106,1.787881
0.071000,2.059000,-225.746363,296.439791,1.761525
0.081000,2.106000,-238.314472,326.140257,1.730712
0.091000,2.093000,-224.625801,317.644010,1.707162
0.101000,2.121000,-228.781074,336.222086,1.680446
0.111000,2.220000,-265.530145,410.916089,1.646191
0.121000,2.178000,-237.659777,377.413906,1.629706
0.131000,2.227000,-251.335661,416.778525,1.603044
0.141000,2.256000,-256.219376,441.959355,1.579735
0.151000,2.265000,-252.018468,450.075742,1.559947
0.161000,2.254000,-239.370204,440.175468,1.543806
0.171000,2.394000,-296.516505,583.994236,1.507739
0.181000,2.353000,-267.328402,537.631353,1.497234
0.191000,2.292000,-233.181915,475.320168,1.490579
0.201000,2.412000,-277.983423,605.580836,1.459036
0.211000,2.321000,-230.889989,503.996811,1.458118
0.221000,2.431000,-270.046995,629.225705,1.429173
0.231000,2.541000,-315.028790,785.270516,1.401172
0.241000,2.410000,-245.775786,603.143770,1.407491
0.251000,2.510000,-281.736019,737.767445,1.381876
0.261000,2.610000,-322.274087,902.197173,1.357210
0.271000,2.439000,-236.862754,639.453400,1.370414
0.281000,2.529000,-266.594027,766.532065,1.347792
0.291000,2.619000,-299.531923,918.672848,1.326049
0.301000,2.709000,-335.975076,1100.818436,1.305205
0.311000,2.488000,-230.083068,705.798335,1.325990
0.321000,2.568000,-254.288576,829.113090,1.306700
0.331000,2.648000,-280.648289,973.824295,1.288192
0.341000,2.728000,-309.324492,1143.644468,1.270473
0.351000,2.808000,-340.489532,1342.930287,1.253542
0.361000,2.888000,-374.326312,1576.794361,1.237397
0.371000,2.597000,-233.862970,878.916477,1.266081
0.381000,2.667000,-253.725858,1011.731688,1.250784
0.391000,2.737000,-274.988562,1164.505545,1.236142
0.401000,2.807000,-297.732345,1340.237310,1.222149
0.411000,2.877000,-322.042198,1542.376955,1.208796
0.421000,2.947000,-348.006973,1774.892892,1.196072
0.431000,3.017000,-375.719508,2042.349882,1.183964
0.441000,3.087000,-405.276761,2349.998651,1.172458
0.451000,2.706000,-227.316319,1094.203959,1.207746
0.461000,2.766000,-242.358101,1234.336891,1.196347
0.471000,2.826000,-258.203189,1392.336330,1.185446
0.481000,2.886000,-274.885542,1570.480200,1.175033
0.491000,2.946000,-292.440187,1771.336853,1.165096
0.501000,3.006000,-310.903235,1997.802097,1.155623
0.511000,3.066000,-330.311911,2253.140947,1.146601
0.521000,3.126000,-350.704569,2541.034696,1.138016
0.531000,3.186000,-372.120719,2865.633991,1.129856
0.541000,3.246000,-394.601052,3231.618675,1.122106
0.551000,3.306000,-418.187456,3644.265254,1.114752
0.561000,3.366000,-442.923047,4109.522972,1.107780
0.571000,3.426000,-468.852186,4634.099585,1.101174
0.581000,3.486000,-496.020510,5225.558064,1.094922
0.591000,2.955000,-237.707260,1803.598692,1.131796
0.601000,3.005000,-249.031766,1993.800686,1.124903
0.611000,3.055000,-260.775258,2204.006398,1.118319
0.621000,3.105000,-272.949256,2436.319638,1.112033
0.631000,3.155000,-285.565488,2693.065474,1.106037
0.641000,3.205000,-298.635896,2976.813506,1.100321
0.651000,3.255000,-312.172633,3290.403578,1.094874
0.661000,3.305000,-326.188068,3636.974207,1.089687
0.671000,3.355000,-340.694786,4019.993987,1.084750
0.681000,3.405000,-355.705591,4443.296308,1.080054
0.691000,3.455000,-371.233508,4911.117723,1.075590
0.701000,3.505000,-387.291783,5428.140347,1.071349
0.711000,3.555000,-403.893888,5999.538714,1.067321
0.721000,3.605000,-421.053520,6631.031571,1.063497
0.731000,3.655000,-438.784606,7328.939113,1.059870
0.741000,3.705000,-457.101300,8100.246231,1.056431
0.751000,3.755000,-476.017990,8952.672428,1.053170
0.761000,3.805000,-495.549297,9894.749069,1.050082
0.771000,3.855000,-515.710079,10935.904776,1.047158
0.781000,3.905000,-536.515429,12086.559785,1.044389
0.791000,3.955000,-557.980682,13358.230237,1.041771
0.801000,4.005000,-580.121411,14763.643439,1.039294
0.811000,4.055000,-602.953436,16316.865237,1.036953
0.821000,3.284000,-234.079792,3487.182916,1.067126
0.831000,3.324000,-241.398859,3778.028678,1.063895
0.841000,3.364000,-248.884766,4093.098132,1.060806
0.851000,3.404000,-256.540030,4434.408796,1.057852
0.861000,3.444000,-264.367185,4804.146224,1.055029
0.871000,3.484000,-272.368787,5204.677999,1.052332
0.881000,3.524000,-280.547407,5638.568891,1.049755
0.891000,3.564000,-288.905637,6108.597283,1.047295
0.901000,3.604000,-297.446088,6617.772961,1.044947
0.911000,3.644000,-306.171389,7169.356389,1.042706
0.921000,3.684000,-315.084189,7766.879583,1.040568
0.931000,3.724000,-324.187155,8414.168731,1.038529
0.941000,3.764000,-333.482972,9115.368695,1.036585
0.951000,3.804000,-342.974345,9874.969547,1.034732
0.961000,3.844000,-352.663999,10697.835327,1.032966
0.971000,3.884000,-362.554674,11589.235185,1.031284
0.981000,3.924000,-372.649133,12554.877124,1.029682
0.991000,3.964000,-382.950155,13600.944547,1.028156
