dt,tempo_final,v_final_num,v_final_analitico,erro_relativo
0.001000,4.516000,-44.301960,-44.301960,0.000000
0.011000,4.521000,-44.351010,-44.351010,0.000000
0.021000,4.536000,-44.498160,-44.498160,0.000000
0.031000,4.557000,-44.704170,-44.704170,0.000000
0.041000,4.551000,-44.645310,-44.645310,0.000000
0.051000,4.590000,-45.027900,-45.027900,0.000000
0.061000,4.575000,-44.880750,-44.880750,0.000000
0.071000,4.615000,-45.273150,-45.273150,0.000000
0.081000,4.617000,-45.292770,-45.292770,0.000000
0.091000,4.641000,-45.528210,-45.528210,0.000000
0.101000,4.646000,-45.577260,-45.577260,0.000000
0.111000,4.662000,-45.734220,-45.734220,0.000000
0.121000,4.598000,-45.106380,-45.106380,0.000000
0.131000,4.585000,-44.978850,-44.978850,0.000000
0.141000,4.653000,-45.645930,-45.645930,0.000000
0.151000,4.681000,-45.920610,-45.920610,0.000000
0.161000,4.669000,-45.802890,-45.802890,0.000000
0.171000,4.617000,-45.292770,-45.292770,0.000000
0.181000,4.706000,-46.165860,-46.165860,0.000000
0.191000,4.775000,-46.842750,-46.842750,0.000000
0.201000,4.623000,-45.351630,-45.351630,0.000000
0.211000,4.642000,-45.538020,-45.538020,0.000000
0.221000,4.641000,-45.528210,-45.528210,0.000000
0.231000,4.851000,-47.588310,-47.588310,0.000000
0.241000,4.820000,-47.284200,-47.284200,0.000000
0.251000,4.769000,-46.783890,-46.783890,0.000000
0.261000,4.698000,-46.087380,-46.087380,0.000000
0.271000,4.878000,-47.853180,-47.853180,0.000000
0.281000,4.777000,-46.862370,-46.862370,0.000000
0.291000,4.947000,-48.530070,-48.530070,0.000000
0.301000,4.816000,-47.244960,-47.244960,0.000000
0.311000,4.976000,-48.814560,-48.814560,0.000000
0.321000,4.815000,-47.235150,-47.235150,0.000000
0.331000,4.965000,-48.706650,-48.706650,0.000000
0.341000,4.774000,-46.832940,-46.832940,0.000000
0.351000,4.914000,-48.206340,-48.206340,0.000000
0.361000,5.054000,-49.579740,-49.579740,0.000000
0.371000,4.823000,-47.313630,-47.313630,0.000000
0.381000,4.953000,-48.588930,-48.588930,0.000000
0.391000,5.083000,-49.864230,-49.864230,0.000000
0.401000,4.812000,-47.205720,-47.205720,0.000000
0.411000,4.932000,-48.382920,-48.382920,0.000000
0.421000,5.052000,-49.560120,-49.560120,0.000000
0.431000,4.741000,-46.509210,-46.509210,0.000000
0.441000,4.851000,-47.588310,-47.588310,0.000000
0.451000,4.961000,-48.667410,-48.667410,0.000000
0.461000,5.071000,-49.746510,-49.746510,0.000000
0.471000,5.181000,-50.825610,-50.825610,0.000000
0.481000,4.810000,-47.186100,-47.186100,0.000000
0.491000,4.910000,-48.167100,-48.167100,0.000000
0.501000,5.010000,-49.148100,-49.148100,0.000000
0.511000,5.110000,-50.129100,-50.129100,0.000000
0.521000,5.210000,-51.110100,-51.110100,0.000000
0.531000,5.310000,-52.091100,-52.091100,0.000000
0.541000,4.869000,-47.764890,-47.764890,0.000000
0.551000,4.959000,-48.647790,-48.647790,0.000000
0.561000,5.049000,-49.530690,-49.530690,0.000000
0.571000,5.139000,-50.413590,-50.413590,0.000000
0.581000,5.229000,-51.296490,-51.296490,0.000000
0.591000,5.319000,-52.179390,-52.179390,0.000000
0.601000,5.409000,-53.062290,-53.062290,0.000000
0.611000,4.888000,-47.951280,-47.951280,0.000000
0.621000,4.968000,-48.736080,-48.736080,0.000000
0.631000,5.048000,-49.520880,-49.520880,0.000000
0.641000,5.128000,-50.305680,-50.305680,0.000000
0.651000,5.208000,-51.090480,-51.090480,0.000000
0.661000,5.288000,-51.875280,-51.875280,0.000000
0.671000,5.368000,-52.660080,-52.660080,0.000000
0.681000,5.448000,-53.444880,-53.444880,0.000000
0.691000,5.528000,-54.229680,-54.229680,0.000000
0.701000,4.907000,-48.137670,-48.137670,0.000000
0.711000,4.977000,-48.824370,-48.824370,0.000000
0.721000,5.047000,-49.511070,-49.511070,0.000000
0.731000,5.117000,-50.197770,-50.197770,0.000000
0.741000,5.187000,-50.884470,-50.884470,0.000000
0.751000,5.257000,-51.571170,-51.571170,0.000000
0.761000,5.327000,-52.257870,-52.257870,0.000000
0.771000,5.397000,-52.944570,-52.944570,0.000000
0.781000,5.467000,-53.631270,-53.631270,0.000000
0.791000,5.537000,-54.317970,-54.317970,0.000000
0.801000,5.607000,-55.004670,-55.004670,0.000000
0.811000,5.677000,-55.691370,-55.691370,0.000000
0.821000,5.747000,-56.378070,-56.378070,0.000000
0.831000,4.986000,-48.912660,-48.912660,0.000000
0.841000,5.046000,-49.501260,-49.501260,0.000000
0.851000,5.106000,-50.089860,-50.089860,0.000000
0.861000,5.166000,-50.678460,-50.678460,0.000000
0.871000,5.226000,-51.267060,-51.267060,0.000000
0.881000,5.286000,-51.855660,-51.855660,0.000000
0.891000,5.346000,-52.444260,-52.444260,0.000000
0.901000,5.406000,-53.032860,-53.032860,0.000000
0.911000,5.466000,-53.621460,-53.621460,0.000000
0.921000,5.526000,-54.210060,-54.210060,0.000000
0.931000,5.586000,-54.798660,-54.798660,0.000000
0.941000,5.646000,-55.387260,-55.387260,0.000000
0.951000,5.706000,-55.975860,-55.975860,0.000000
0.961000,5.766000,-56.564460,-56.564460,0.000000
0.971000,5.826000,-57.153060,-57.153060,0.000000
0.981000,5.886000,-57.741660,-57.741660,0.000000
0.991000,5.946000,-58.330260,-58.330260,0.000000
