dt,tempo_final,v_final_num,v_final_analitico,erro_relativo
0.001000,4.201000,-51.216224,51.219360,1.999939
0.002000,4.202000,-51.228018,51.234292,1.999878
0.003000,4.203000,-51.239813,51.249227,1.999816
0.004000,4.204000,-51.251608,51.264162,1.999755
0.005000,4.205000,-51.263402,51.279099,1.999694
0.006000,4.206000,-51.275196,51.294038,1.999633
0.007000,4.207000,-51.286990,51.308978,1.999571
0.008000,4.208000,-51.298784,51.323920,1.999510
0.009000,4.212000,-51.355388,51.383701,1.999449
0.010000,4.210000,-51.322372,51.353808,1.999388
0.011000,4.213000,-51.364039,51.398651,1.999327
0.012000,4.212000,-51.345959,51.383701,1.999265
0.013000,4.212000,-51.342817,51.383701,1.999204
0.014000,4.214000,-51.369545,51.413601,1.999143
0.015000,4.215000,-51.381338,51.428553,1.999082
0.016000,4.224000,-51.512678,51.563190,1.999020
0.017000,4.216000,-51.389987,51.443507,1.998960
0.018000,4.212000,-51.327114,51.383701,1.998899
0.019000,4.218000,-51.413571,51.473419,1.998837
0.020000,4.220000,-51.440301,51.503336,1.998776
0.021000,4.221000,-51.452093,51.518297,1.998715
0.022000,4.224000,-51.493768,51.563190,1.998654
0.023000,4.232000,-51.610201,51.682968,1.998592
0.024000,4.224000,-51.487469,51.563190,1.998531
0.025000,4.225000,-51.499260,51.578157,1.998470
0.026000,4.238000,-51.690459,51.772865,1.998408
0.027000,4.239000,-51.702256,51.787853,1.998347
0.028000,4.228000,-51.534634,51.623067,1.998287
0.029000,4.234000,-51.621159,51.712928,1.998225
0.030000,4.230000,-51.558216,51.653014,1.998165
0.031000,4.247000,-51.809299,51.907811,1.998102
0.032000,4.224000,-51.462290,51.563190,1.998043
0.033000,4.224000,-51.459145,51.563190,1.997982
0.034000,4.250000,-51.844691,51.952820,1.997919
0.035000,4.235000,-51.617168,51.727910,1.997859
0.036000,4.248000,-51.808417,51.922813,1.997797
0.037000,4.255000,-51.910025,52.027865,1.997735
0.038000,4.256000,-51.921823,52.042879,1.997674
0.039000,4.251000,-51.843802,51.967826,1.997613
0.040000,4.240000,-51.676116,51.802842,1.997554
0.041000,4.264000,-52.032108,52.163041,1.997490
0.042000,4.242000,-51.699695,51.832826,1.997432
0.043000,4.257000,-51.920916,52.057894,1.997369
0.044000,4.268000,-52.082490,52.223158,1.997306
0.045000,4.230000,-51.510981,51.653014,1.997250
0.046000,4.232000,-51.537691,51.682968,1.997189
0.047000,4.230000,-51.504691,51.653014,1.997128
0.048000,4.272000,-52.129685,52.283300,1.997062
0.049000,4.263000,-51.991684,52.148016,1.997002
0.050000,4.250000,-51.794003,51.952820,1.996943
0.051000,4.233000,-51.536887,51.697947,1.996885
0.052000,4.264000,-51.997121,52.163041,1.996819
0.053000,4.240000,-51.635098,51.802842,1.996762
0.054000,4.266000,-52.020706,52.193097,1.996697
0.055000,4.235000,-51.554154,51.727910,1.996641
0.056000,4.256000,-51.864728,52.042879,1.996577
0.057000,4.275000,-52.145948,52.328422,1.996513
0.058000,4.292000,-52.397651,52.584367,1.996449
0.059000,4.248000,-51.735663,51.922813,1.996396
0.060000,4.260000,-51.911875,52.102948,1.996333
0.061000,4.270000,-52.058333,52.253226,1.996270
0.062000,4.278000,-52.174954,52.373557,1.996208
0.063000,4.284000,-52.261673,52.463868,1.996146
0.064000,4.288000,-52.318443,52.524106,1.996084
0.065000,4.290000,-52.345235,52.554233,1.996023
0.066000,4.290000,-52.342036,52.554233,1.995962
0.067000,4.288000,-52.308853,52.524106,1.995902
0.068000,4.284000,-52.245710,52.463868,1.995842
0.069000,4.278000,-52.152650,52.373557,1.995782
0.070000,4.270000,-52.029733,52.253226,1.995723
0.071000,4.260000,-51.877036,52.102948,1.995664
0.072000,4.248000,-51.694655,51.922813,1.995606
0.073000,4.307000,-52.574657,52.810563,1.995533
0.074000,4.292000,-52.346437,52.584367,1.995475
0.075000,4.275000,-52.088656,52.328422,1.995418
0.076000,4.256000,-51.801473,52.042879,1.995361
0.077000,4.312000,-52.636868,52.886038,1.995289
0.078000,4.290000,-52.303686,52.554233,1.995233
0.079000,4.266000,-51.941379,52.193097,1.995177
0.080000,4.320000,-52.747370,53.006875,1.995104
0.081000,4.293000,-52.339052,52.599437,1.995050
0.082000,4.264000,-51.902000,52.163041,1.994996
0.083000,4.316000,-52.677626,52.946444,1.994923
0.084000,4.284000,-52.194710,52.463868,1.994870
0.085000,4.335000,-52.956715,53.233705,1.994797
0.086000,4.300000,-52.427968,52.704963,1.994744
0.087000,4.263000,-51.871256,52.148016,1.994693
0.088000,4.312000,-52.601513,52.886038,1.994620
0.089000,4.272000,-51.999368,52.283300,1.994569
0.090000,4.320000,-52.715156,53.006875,1.994497
0.091000,4.277000,-52.067758,52.358510,1.994447
0.092000,4.324000,-52.768779,53.067330,1.994374
0.093000,4.278000,-52.076361,52.373557,1.994325
0.094000,4.324000,-52.762335,53.067330,1.994253
0.095000,4.275000,-52.025185,52.328422,1.994205
0.096000,4.320000,-52.695851,53.006875,1.994132
0.097000,4.268000,-51.914308,52.223158,1.994086
0.098000,4.312000,-52.569424,52.886038,1.994013
0.099000,4.356000,-53.227335,53.551840,1.993940
0.100000,4.300000,-52.383222,52.704963,1.993895
0.101000,4.343000,-53.025227,53.354821,1.993823
0.102000,4.284000,-52.137484,52.463868,1.993779
0.103000,4.326000,-52.763380,53.097566,1.993706
0.104000,4.264000,-51.832522,52.163041,1.993664
0.105000,4.305000,-52.442124,52.780384,1.993591
0.106000,4.346000,-53.054144,53.400264,1.993518
0.107000,4.280000,-52.061859,52.403655,1.993478
0.108000,4.320000,-52.657295,53.006875,1.993405
0.109000,4.360000,-53.255034,53.612513,1.993332
0.110000,4.290000,-52.201763,52.554233,1.993293
0.111000,4.329000,-52.782653,53.142932,1.993221
0.112000,4.368000,-53.365731,53.733931,1.993148
0.113000,4.294000,-52.252025,52.614507,1.993111
0.114000,4.332000,-52.818014,53.188312,1.993038
0.115000,4.370000,-53.386076,53.764301,1.992965
0.116000,4.292000,-52.212595,52.584367,1.992930
0.117000,4.329000,-52.763353,53.142932,1.992857
0.118000,4.366000,-53.316075,53.703568,1.992785
0.119000,4.284000,-52.083583,52.463868,1.992751
0.120000,4.320000,-52.618810,53.006875,1.992679
0.121000,4.356000,-53.155892,53.551840,1.992606
0.122000,4.392000,-53.694835,54.098770,1.992533
0.123000,4.305000,-52.384683,52.780384,1.992503
0.124000,4.340000,-52.905854,53.309391,1.992430
0.125000,4.375000,-53.428779,53.840252,1.992358
0.126000,4.284000,-52.061428,52.463868,1.992329
0.127000,4.318000,-52.566447,52.976656,1.992257
0.128000,4.352000,-53.073114,53.491191,1.992184
0.129000,4.386000,-53.581434,54.007479,1.992111
0.130000,4.290000,-52.138315,52.554233,1.992086
0.131000,4.323000,-52.628513,53.052214,1.992014
0.132000,4.356000,-53.120261,53.551840,1.991941
0.133000,4.389000,-53.613565,54.053118,1.991868
0.134000,4.288000,-52.095806,52.524106,1.991846
0.135000,4.320000,-52.570804,53.006875,1.991773
0.136000,4.352000,-53.047256,53.491191,1.991701
0.137000,4.384000,-53.525168,53.977060,1.991628
0.138000,4.416000,-54.004544,54.464486,1.991555
0.139000,4.309000,-52.393528,52.840749,1.991536
0.140000,4.340000,-52.854343,53.309391,1.991464
0.141000,4.371000,-53.316524,53.779488,1.991391
0.142000,4.402000,-53.780074,54.251045,1.991319
0.143000,4.290000,-52.097178,52.554233,1.991303
0.144000,4.320000,-52.542052,53.006875,1.991231
0.145000,4.350000,-52.988200,53.460876,1.991158
0.146000,4.380000,-53.435626,53.916241,1.991086
0.147000,4.410000,-53.884332,54.372975,1.991013
0.148000,4.292000,-52.111196,52.584367,1.991002
0.149000,4.321000,-52.541049,53.021986,1.990929
0.150000,4.350000,-52.972088,53.460876,1.990857
0.151000,4.379000,-53.404319,53.901041,1.990785
0.152000,4.408000,-53.837743,54.342483,1.990712
0.153000,4.437000,-54.272364,54.785208,1.990639
0.154000,4.312000,-52.390630,52.886038,1.990633
0.155000,4.340000,-52.806166,53.309391,1.990560
0.156000,4.368000,-53.222807,53.733931,1.990488
0.157000,4.396000,-53.640558,54.159662,1.990415
0.158000,4.424000,-54.059420,54.586587,1.990343
0.159000,4.452000,-54.479398,55.014708,1.990270
0.160000,4.320000,-52.491036,53.006875,1.990268
0.161000,4.347000,-52.891742,53.415415,1.990196
0.162000,4.374000,-53.293473,53.825059,1.990124
0.163000,4.401000,-53.696234,54.235811,1.990051
0.164000,4.428000,-54.100027,54.647673,1.989979
0.165000,4.455000,-54.504854,55.060649,1.989906
0.166000,4.316000,-52.412215,52.946444,1.989910
0.167000,4.342000,-52.797630,53.339676,1.989838
0.168000,4.368000,-53.183995,53.733931,1.989766
0.169000,4.394000,-53.571310,54.129213,1.989693
0.170000,4.420000,-53.959579,54.525524,1.989621
0.171000,4.446000,-54.348803,54.922867,1.989548
0.172000,4.472000,-54.738986,55.321244,1.989475
0.173000,4.325000,-52.524327,53.082447,1.989486
0.174000,4.350000,-52.894921,53.460876,1.989414
0.175000,4.375000,-53.266390,53.840252,1.989341
0.176000,4.400000,-53.638737,54.220578,1.989269
0.177000,4.425000,-54.011963,54.601856,1.989196
0.178000,4.450000,-54.386070,54.984088,1.989124
0.179000,4.475000,-54.761060,55.367277,1.989051
0.180000,4.320000,-52.427441,53.006875,1.989069
0.181000,4.344000,-52.782721,53.369967,1.988997
0.182000,4.368000,-53.138803,53.733931,1.988925
0.183000,4.392000,-53.495691,54.098770,1.988852
0.184000,4.416000,-53.853386,54.464486,1.988780
0.185000,4.440000,-54.211890,54.831081,1.988707
0.186000,4.464000,-54.571204,55.198556,1.988635
0.187000,4.488000,-54.931331,55.566914,1.988562
0.188000,4.324000,-52.461711,53.067330,1.988588
0.189000,4.347000,-52.801980,53.415415,1.988516
0.190000,4.370000,-53.142985,53.764301,1.988444
0.191000,4.393000,-53.484726,54.113991,1.988371
0.192000,4.416000,-53.827206,54.464486,1.988299
0.193000,4.439000,-54.170427,54.815788,1.988227
0.194000,4.462000,-54.514388,55.167899,1.988154
0.195000,4.485000,-54.859093,55.520821,1.988081
0.196000,4.508000,-55.204543,55.874556,1.988009
0.197000,4.334000,-52.582297,53.218573,1.988044
0.198000,4.356000,-52.907729,53.551840,1.987972
0.199000,4.378000,-53.233831,53.885841,1.987900
0.200000,4.400000,-53.560606,54.220578,1.987828
0.201000,4.422000,-53.888054,54.556052,1.987756
0.202000,4.444000,-54.216177,54.892265,1.987683
0.203000,4.466000,-54.544976,55.229219,1.987611
0.204000,4.488000,-54.874452,55.566914,1.987538
0.205000,4.510000,-55.204607,55.905354,1.987465
0.206000,4.532000,-55.535442,56.244539,1.987393
0.207000,4.347000,-52.744478,53.415415,1.987439
0.208000,4.368000,-53.055132,53.733931,1.987367
0.209000,4.389000,-53.366394,54.053118,1.987295
0.210000,4.410000,-53.678268,54.372975,1.987223
0.211000,4.431000,-53.990752,54.693505,1.987151
0.212000,4.452000,-54.303849,55.014708,1.987079
0.213000,4.473000,-54.617560,55.336587,1.987006
0.214000,4.494000,-54.931886,55.659142,1.986934
0.215000,4.515000,-55.246828,55.982376,1.986861
0.216000,4.536000,-55.562388,56.306289,1.986788
0.217000,4.340000,-52.608197,53.309391,1.986847
0.218000,4.360000,-52.903486,53.612513,1.986775
0.219000,4.380000,-53.199325,53.916241,1.986703
0.220000,4.400000,-53.495714,54.220578,1.986631
0.221000,4.420000,-53.792655,54.525524,1.986559
0.222000,4.440000,-54.090148,54.831081,1.986487
0.223000,4.460000,-54.388195,55.137249,1.986415
0.224000,4.480000,-54.686796,55.444030,1.986342
0.225000,4.500000,-54.985953,55.751425,1.986270
0.226000,4.520000,-55.285666,56.059436,1.986197
0.227000,4.540000,-55.585936,56.368064,1.986125
0.228000,4.560000,-55.886765,56.677309,1.986052
0.229000,4.351000,-52.734053,53.476033,1.986125
0.230000,4.370000,-53.014468,53.764301,1.986053
0.231000,4.389000,-53.295378,54.053118,1.985982
0.232000,4.408000,-53.576782,54.342483,1.985910
0.233000,4.427000,-53.858681,54.632399,1.985838
0.234000,4.446000,-54.141077,54.922867,1.985766
0.235000,4.465000,-54.423970,55.213887,1.985694
0.236000,4.484000,-54.707361,55.505460,1.985621
0.237000,4.503000,-54.991250,55.797588,1.985549
0.238000,4.522000,-55.275639,56.090271,1.985476
0.239000,4.541000,-55.560529,56.383511,1.985404
