dt,tempo_final,v_final_num,v_final_analitico,erro_relativo
0.001000,0.697000,-1007.497245,1043.021518,1.965941
0.002000,0.702000,-1023.088180,1096.548672,1.933008
0.003000,0.705000,-1018.588448,1129.973427,1.901427
0.004000,0.708000,-1014.262139,1164.416117,1.871048
0.005000,0.715000,-1050.348315,1248.916942,1.841007
0.006000,0.720000,-1066.531181,1313.000580,1.812285
0.007000,0.721000,-1041.812004,1326.206314,1.785558
0.008000,0.728000,-1078.539159,1422.438253,1.758233
0.009000,0.729000,-1053.928833,1436.743854,1.733554
0.010000,0.730000,-1030.200289,1451.193229,1.709899
0.011000,0.737000,-1066.373256,1556.487741,1.685115
0.012000,0.744000,-1103.571627,1669.416967,1.661052
0.013000,0.741000,-1039.275135,1620.049246,1.641508
0.014000,0.742000,-1016.733889,1636.340871,1.621346
0.015000,0.750000,-1062.086950,1772.708609,1.599132
0.016000,0.752000,-1049.031577,1808.539515,1.580043
0.017000,0.765000,-1147.259302,2059.752323,1.556989
0.018000,0.756000,-1023.994098,1882.387449,1.543987
0.019000,0.760000,-1030.704824,1959.249173,1.526071
0.020000,0.780000,-1200.557257,2393.249540,1.501643
0.021000,0.777000,-1133.318418,2322.489334,1.487976
0.022000,0.770000,-1032.406207,2165.408380,1.476772
0.023000,0.782000,-1117.021556,2441.616205,1.457493
0.024000,0.792000,-1186.385024,2698.506396,1.439645
0.025000,0.800000,-1237.215077,2923.338785,1.423220
0.026000,0.806000,-1267.126018,3104.168622,1.408201
0.027000,0.810000,-1274.813237,3230.892182,1.394570
0.028000,0.812000,-1260.143977,3296.180351,1.382304
0.029000,0.812000,-1224.145392,3296.180351,1.371383
0.030000,0.810000,-1168.894160,3230.892182,1.361787
0.031000,0.806000,-1097.323327,3104.168622,1.353500
0.032000,0.800000,-1012.970746,2923.338785,1.346512
0.033000,0.825000,-1223.522502,3753.919931,1.325932
0.034000,0.816000,-1101.025530,3430.740058,1.320929
0.035000,0.840000,-1316.303104,4361.591479,1.301794
0.036000,0.828000,-1155.301359,3868.273689,1.298661
0.037000,0.851000,-1367.510335,4868.862990,1.280869
0.038000,0.836000,-1171.238410,4190.532566,1.279496
0.039000,0.858000,-1373.043931,5221.966520,1.262936
0.040000,0.840000,-1148.118820,4361.591479,1.263234
0.041000,0.861000,-1333.370884,5381.028953,1.247791
0.042000,0.840000,-1089.042585,4361.591479,1.249689
0.043000,0.860000,-1253.285309,5327.477059,1.235249
0.044000,0.880000,-1440.864908,6507.212370,1.221426
0.045000,0.855000,-1141.005710,5067.605093,1.225157
0.046000,0.874000,-1300.306528,6128.204694,1.212184
0.047000,0.893000,-1480.507783,7410.734334,1.199779
0.048000,0.864000,-1137.641822,5544.935558,1.205168
0.049000,0.882000,-1284.370293,6638.686597,1.193468
0.050000,0.900000,-1448.830934,7948.144333,1.182285
0.051000,0.867000,-1081.143205,5713.833862,1.189215
0.052000,0.884000,-1209.645016,6772.816780,1.178603
0.053000,0.901000,-1352.410147,8028.034371,1.168461
0.054000,0.918000,-1510.912715,9515.849870,1.158779
0.055000,0.880000,-1087.889365,6507.212370,1.167182
0.056000,0.896000,-1205.894806,7636.454670,1.157913
0.057000,0.912000,-1335.809794,8961.632786,1.149059
0.058000,0.928000,-1478.748727,10516.743710,1.140609
0.059000,0.885000,-1028.517865,6840.894580,1.150348
0.060000,0.900000,-1130.034996,7948.144333,1.142176
0.061000,0.915000,-1240.834705,9234.585012,1.134368
0.062000,0.930000,-1361.700078,10729.215843,1.126915
0.063000,0.945000,-1493.474795,12465.729124,1.119806
0.064000,0.960000,-1637.067393,14483.269716,1.113032
0.065000,0.910000,-1086.556463,8784.161142,1.123695
0.066000,0.924000,-1182.557091,10104.337825,1.117035
0.067000,0.938000,-1286.377792,11622.902474,1.110676
0.068000,0.952000,-1398.602944,13369.667601,1.104610
0.069000,0.966000,-1519.856708,15378.925759,1.098827
0.070000,0.980000,-1650.805479,17690.122774,1.093318
0.071000,0.923000,-1047.639739,10003.788223,1.104724
0.072000,0.936000,-1130.217491,11392.734160,1.099205
0.073000,0.949000,-1218.762038,12974.505215,1.093935
0.074000,0.962000,-1313.666243,14775.870990,1.088906
0.075000,0.975000,-1415.346346,16827.317462,1.084110
0.076000,0.988000,-1524.243205,19163.562931,1.079539
0.077000,1.001000,-1640.823607,21824.145583,1.075184
0.078000,1.014000,-1765.581623,24854.092622,1.071038
0.079000,0.948000,-1060.483268,12845.396970,1.082557
0.080000,0.960000,-1133.870585,14483.269716,1.078288
0.081000,0.972000,-1211.882442,16329.966080,1.074212
0.082000,0.984000,-1294.782264,18412.110416,1.070322
0.083000,0.996000,-1382.846906,20759.721599,1.066612
0.084000,1.008000,-1476.367255,23406.645817,1.063075
0.085000,1.020000,-1575.648863,26391.044539,1.059704
0.086000,1.032000,-1681.012596,29755.944702,1.056493
0.087000,1.044000,-1792.795317,33549.859042,1.053437
0.088000,0.968000,-1016.216653,15689.620485,1.064770
0.089000,0.979000,-1077.341962,17514.093350,1.061513
0.090000,0.990000,-1141.788440,19550.712400,1.058401
0.091000,1.001000,-1209.717619,21824.145583,1.055430
0.092000,1.012000,-1281.297980,24361.929189,1.052594
0.093000,1.023000,-1356.705209,27194.801377,1.049888
0.094000,1.034000,-1436.122465,30357.074476,1.047308
0.095000,1.045000,-1519.740662,33887.050590,1.044847
0.096000,1.056000,-1607.758748,37827.485515,1.042502
0.097000,1.067000,-1700.384003,42226.106609,1.040269
0.098000,1.078000,-1797.832343,47136.190878,1.038141
0.099000,1.089000,-1900.328630,52617.210271,1.036116
0.100000,1.100000,-2008.107000,58735.552023,1.034189
0.101000,1.010000,-1054.935513,23879.511245,1.044177
0.102000,1.020000,-1108.660528,26391.044539,1.042009
0.103000,1.030000,-1164.833323,29166.718095,1.039937
0.104000,1.040000,-1223.552531,32234.311787,1.037958
0.105000,1.050000,-1284.920248,35624.527123,1.036068
0.106000,1.060000,-1349.042135,39371.294520,1.034265
0.107000,1.070000,-1416.027521,43512.112883,1.032543
0.108000,1.080000,-1485.989515,48088.424915,1.030901
0.109000,1.090000,-1559.045115,53146.031885,1.029335
0.110000,1.100000,-1635.315324,58735.552023,1.027842
0.111000,1.110000,-1714.925267,64912.927125,1.026419
0.112000,1.120000,-1798.004308,71739.982439,1.025063
0.113000,1.130000,-1884.686178,79285.045427,1.023771
0.114000,1.140000,-1975.109093,87623.629617,1.022541
0.115000,1.150000,-2069.415890,96839.190362,1.021370
0.116000,1.160000,-2167.754152,107023.960090,1.020255
0.117000,1.053000,-1045.681374,36709.485370,1.028485
0.118000,1.062000,-1089.900181,40166.667245,1.027134
0.119000,1.071000,-1135.771822,43949.426747,1.025843
0.120000,1.080000,-1183.350103,48088.424915,1.024608
0.121000,1.089000,-1232.690326,52617.210271,1.023428
0.122000,1.098000,-1283.849322,57572.490743,1.022300
0.123000,1.107000,-1336.885486,62994.431205,1.021222
0.124000,1.116000,-1391.858814,68926.979026,1.020193
0.125000,1.125000,-1448.830934,75418.220289,1.019211
0.126000,1.134000,-1507.865152,82520.769548,1.018273
0.127000,1.143000,-1569.026482,90292.196296,1.017377
0.128000,1.152000,-1632.381688,98795.491591,1.016523
0.129000,1.161000,-1697.999321,108099.578630,1.015708
0.130000,1.170000,-1765.949761,118279.871402,1.014930
0.131000,1.179000,-1836.305257,129418.885953,1.014189
0.132000,1.188000,-1909.139965,141606.909220,1.013482
0.133000,1.197000,-1984.529996,154942.730849,1.012808
0.134000,1.206000,-2062.553452,169534.443927,1.012166
0.135000,1.215000,-2143.290473,185500.321132,1.011554
0.136000,1.224000,-2226.823281,202969.773386,1.010971
0.137000,1.233000,-2313.236223,222084.398794,1.010416
0.138000,1.242000,-2402.615821,242999.130357,1.009887
0.139000,1.112000,-1043.383774,66224.275056,1.015755
0.140000,1.120000,-1078.857832,71739.982439,1.015038
0.141000,1.128000,-1115.381779,77715.076916,1.014352
0.142000,1.136000,-1152.982136,84187.819491,1.013695
0.143000,1.144000,-1191.685982,91199.657815,1.013067
0.144000,1.152000,-1231.520959,98795.491591,1.012465
0.145000,1.160000,-1272.515285,107023.960090,1.011890
0.146000,1.168000,-1314.697762,115937.753602,1.011340
0.147000,1.176000,-1358.097786,125593.950837,1.010813
0.148000,1.184000,-1402.745355,136054.384424,1.010310
0.149000,1.192000,-1448.671084,147386.036852,1.009829
0.150000,1.200000,-1495.906207,159661.469382,1.009369
0.151000,1.208000,-1544.482595,172959.286692,1.008930
0.152000,1.216000,-1594.432761,187364.640213,1.008510
0.153000,1.224000,-1645.789873,202969.773386,1.008109
0.154000,1.232000,-1698.587763,219874.612343,1.007725
0.155000,1.240000,-1752.860938,238187.405766,1.007359
0.156000,1.248000,-1808.644594,258025.418054,1.007010
0.157000,1.256000,-1865.974619,279515.680214,1.006676
0.158000,1.264000,-1924.887612,302795.803293,1.006357
0.159000,1.272000,-1985.420891,328014.859558,1.006053
0.160000,1.280000,-2047.612503,355334.337069,1.005762
0.161000,1.288000,-2111.501238,384929.173752,1.005485
0.162000,1.296000,-2177.126638,416988.877601,1.005221
0.163000,1.304000,-2244.529010,451718.740174,1.004969
0.164000,1.312000,-2313.749437,489341.151161,1.004728
0.165000,1.320000,-2384.829793,530097.022439,1.004499
0.166000,1.328000,-2457.812749,574247.330726,1.004280
0.167000,1.336000,-2532.741793,622074.788727,1.004071
0.168000,1.344000,-2609.661234,673885.655459,1.003873
0.169000,1.352000,-2688.616221,730011.697355,1.003683
0.170000,1.190000,-1025.179649,144467.578361,1.007096
0.171000,1.197000,-1052.081248,154942.730849,1.006790
0.172000,1.204000,-1079.585093,166177.417592,1.006497
0.173000,1.211000,-1107.702379,178226.711037,1.006215
0.174000,1.218000,-1136.444465,191149.676836,1.005945
0.175000,1.225000,-1165.822879,205009.663381,1.005687
0.176000,1.232000,-1195.849317,219874.612343,1.005439
0.177000,1.239000,-1226.535648,235817.391719,1.005201
0.178000,1.246000,-1257.893913,252916.153031,1.004974
0.179000,1.253000,-1289.936328,271254.714427,1.004755
0.180000,1.260000,-1322.675287,290922.971558,1.004546
0.181000,1.267000,-1356.123363,312017.338241,1.004346
0.182000,1.274000,-1390.293309,334641.219087,1.004155
0.183000,1.281000,-1425.198062,358905.516386,1.003971
0.184000,1.288000,-1460.850742,384929.173752,1.003795
0.185000,1.295000,-1497.264657,412839.759183,1.003627
0.186000,1.302000,-1534.453304,442774.090401,1.003466
0.187000,1.309000,-1572.430371,474878.905533,1.003311
0.188000,1.316000,-1611.209738,509311.582420,1.003164
0.189000,1.323000,-1650.805479,546240.910083,1.003022
0.190000,1.330000,-1691.231866,585847.916131,1.002887
0.191000,1.337000,-1732.503370,628326.754151,1.002757
0.192000,1.344000,-1774.634664,673885.655459,1.002633
0.193000,1.351000,-1817.640621,722747.949840,1.002515
0.194000,1.358000,-1861.536321,775153.160319,1.002402
0.195000,1.365000,-1906.337052,831358.177297,1.002293
0.196000,1.372000,-1952.058310,891638.517835,1.002189
0.197000,1.379000,-1998.715804,956289.676230,1.002090
0.198000,1.386000,-2046.325456,1025628.572536,1.001995
0.199000,1.393000,-2094.903402,1099995.106103,1.001904
0.200000,1.400000,-2144.466000,1179753.821766,1.001818
0.201000,1.407000,-2195.029825,1265295.696840,1.001735
0.202000,1.414000,-2246.611675,1357040.057697,1.001656
0.203000,1.421000,-2299.228575,1455436.635301,1.001580
0.204000,1.428000,-2352.897774,1560967.769787,1.001507
0.205000,1.435000,-2407.636752,1674150.774902,1.001438
0.206000,1.442000,-2463.463220,1795540.473866,1.001372
0.207000,1.449000,-2520.395122,1925731.919125,1.001309
0.208000,1.456000,-2578.450641,2065363.309294,1.001248
0.209000,1.463000,-2637.648195,2215119.117611,1.001191
0.210000,1.470000,-2698.006444,2375733.447221,1.001136
0.211000,1.477000,-2759.544292,2547993.629754,1.001083
0.212000,1.484000,-2822.280888,2732744.084825,1.001033
0.213000,1.491000,-2886.235628,2930890.459380,1.000985
0.214000,1.498000,-2951.428159,3143404.067175,1.000939
0.215000,1.505000,-3017.878380,3371326.650164,1.000895
0.216000,1.512000,-3085.606448,3615775.485111,1.000853
0.217000,1.519000,-3154.632773,3877948.860491,1.000813
0.218000,1.308000,-1013.471525,470153.771713,1.002156
0.219000,1.314000,-1032.763247,499226.517963,1.002069
0.220000,1.320000,-1052.359729,530097.022439,1.001985
0.221000,1.326000,-1072.264810,562876.452302,1.001905
0.222000,1.332000,-1092.482366,597682.848906,1.001828
0.223000,1.338000,-1113.016308,634641.552873,1.001754
0.224000,1.344000,-1133.870585,673885.655459,1.001683
0.225000,1.350000,-1155.049183,715556.477821,1.001614
0.226000,1.356000,-1176.556124,759804.079929,1.001548
0.227000,1.362000,-1198.395467,806787.800944,1.001485
0.228000,1.368000,-1220.571311,856676.833011,1.001425
0.229000,1.374000,-1243.087790,909650.830532,1.001367
0.230000,1.380000,-1265.949078,965900.557116,1.001311
0.231000,1.386000,-1289.159385,1025628.572536,1.001257
0.232000,1.392000,-1312.722962,1089049.962161,1.001205
0.233000,1.398000,-1336.644097,1156393.111498,1.001156
