dt (s),tempo_final (s),v_final_num (m/s),v_final_analitico (m/s),erro_relativo
0.0010,1.9120,-218.8242,219.6802,1.9961
0.0020,1.9140,-218.8652,220.5803,1.9922
0.0030,1.9170,-219.3534,221.9373,1.9884
0.0040,1.9200,-219.8423,223.3025,1.9845
0.0050,1.9200,-218.9911,223.3025,1.9807
0.0060,1.9260,-220.8220,226.0574,1.9768
0.0070,1.9250,-219.5228,225.5960,1.9731
0.0080,1.9280,-220.0122,226.9831,1.9693
0.0090,1.9350,-222.2965,230.2524,1.9654
0.0100,1.9300,-219.2106,227.9125,1.9618
0.0110,1.9360,-221.0368,230.7232,1.9580
0.0120,1.9440,-223.7770,234.5236,1.9542
0.0130,1.9370,-219.7912,231.1949,1.9507
0.0140,1.9460,-222.9623,235.4832,1.9468
0.0150,1.9500,-223.9067,237.4140,1.9431
0.0160,1.9520,-223.9509,238.3852,1.9394
0.0170,1.9550,-224.4462,239.8494,1.9358
0.0180,1.9620,-226.7557,243.3000,1.9320
0.0190,1.9570,-223.6372,240.8303,1.9286
0.0200,1.9600,-224.1323,242.3092,1.9250
0.0210,1.9530,-220.1750,238.8723,1.9217
0.0220,1.9580,-221.5508,241.3223,1.9181
0.0230,1.9550,-219.3965,239.8494,1.9147
0.0240,1.9680,-224.3212,246.2964,1.9108
0.0250,1.9750,-226.6177,249.8380,1.9071
0.0260,1.9760,-226.2138,250.3480,1.9036
0.0270,1.9710,-223.1311,247.8082,1.9004
0.0280,1.9880,-229.9378,256.5481,1.8963
0.0290,1.9720,-221.9062,248.3141,1.8937
0.0300,1.9800,-224.6180,252.3982,1.8899
0.0310,1.9840,-225.5616,254.4649,1.8864
0.0320,1.9840,-224.7204,254.4649,1.8831
0.0330,1.9800,-222.1188,252.3982,1.8800
0.0340,2.0060,-232.9668,266.1319,1.8754
0.0350,1.9950,-227.1091,260.2342,1.8727
0.0360,1.9800,-219.6652,252.3982,1.8703
0.0370,1.9980,-226.7652,261.8298,1.8661
0.0380,2.0140,-233.1566,270.5034,1.8619
0.0390,1.9890,-221.1405,257.0716,1.8602
0.0400,2.0000,-225.1474,262.8989,1.8564
0.0410,2.0090,-228.3198,267.7630,1.8527
0.0420,2.0160,-230.6241,271.6072,1.8491
0.0430,2.0210,-232.0363,274.3862,1.8457
0.0440,2.0240,-232.5428,276.0670,1.8423
0.0450,2.0250,-232.1403,276.6295,1.8392
0.0460,2.0240,-230.8360,276.0670,1.8362
0.0470,2.0210,-228.6471,274.3862,1.8333
0.0480,2.0160,-225.6010,271.6072,1.8306
0.0490,2.0090,-221.7342,267.7630,1.8281
0.0500,2.0500,-239.2913,291.0641,1.8221
0.0510,2.0400,-233.8227,285.2035,1.8198
0.0520,2.0280,-227.6003,278.3238,1.8178
0.0530,2.0140,-220.6923,270.5034,1.8159
0.0540,2.0520,-236.7245,292.2504,1.8100
0.0550,2.0350,-228.2202,282.3169,1.8084
0.0560,2.0720,-244.2767,304.3775,1.8025
0.0570,2.0520,-234.1544,292.2504,1.8012
0.0580,2.0300,-223.5948,279.4590,1.8001
0.0590,2.0650,-238.3726,300.0777,1.7944
0.0600,2.0400,-226.3290,285.2035,1.7936
0.0610,2.0740,-240.7899,305.6171,1.7879
0.0620,2.0460,-227.3298,288.7058,1.7874
0.0630,2.0790,-241.3618,308.7379,1.7818
0.0640,2.0480,-226.5839,289.8826,1.7816
0.0650,2.0800,-240.0855,309.3658,1.7761
0.0660,2.0460,-224.1175,288.7058,1.7763
0.0670,2.0770,-236.9994,307.4858,1.7708
0.0680,2.1080,-250.5811,327.4671,1.7652
0.0690,2.0700,-232.1815,303.1428,1.7659
0.0700,2.1000,-245.0055,322.1915,1.7604
0.0710,2.0590,-225.7464,296.4398,1.7615
0.0720,2.0880,-237.7525,314.4346,1.7561
0.0730,2.1170,-250.3610,333.5040,1.7507
0.0740,2.0720,-228.9851,304.3775,1.7523
0.0750,2.1000,-240.6668,322.1915,1.7470
0.0760,2.1280,-252.9101,341.0315,1.7416
0.0770,2.0790,-229.6236,308.7379,1.7437
0.0780,2.1060,-240.8490,326.1403,1.7385
0.0790,2.1330,-252.5908,344.5082,1.7332
0.0800,2.0800,-227.6613,309.3658,1.7359
0.0810,2.1060,-238.3145,326.1403,1.7307
0.0820,2.1320,-249.4361,343.8100,1.7255
0.0830,2.0750,-223.1832,306.2388,1.7288
0.0840,2.1000,-233.1680,322.1915,1.7237
