dt (s),tempo_final (s),v_final_num (m/s),v_final_analitico (m/s),erro_relativo
0.0010,4.5160,-44.3020,-44.3020,0.0000
0.0020,4.5180,-44.3216,-44.3216,0.0000
0.0030,4.5180,-44.3216,-44.3216,0.0000
0.0040,4.5200,-44.3412,-44.3412,0.0000
0.0050,4.5200,-44.3412,-44.3412,0.0000
0.0060,4.5240,-44.3804,-44.3804,0.0000
0.0070,4.5220,-44.3608,-44.3608,0.0000
0.0080,4.5200,-44.3412,-44.3412,0.0000
0.0090,4.5270,-44.4099,-44.4099,0.0000
0.0100,4.5300,-44.4393,-44.4393,0.0000
0.0110,4.5210,-44.3510,-44.3510,0.0000
0.0120,4.5240,-44.3804,-44.3804,0.0000
0.0130,4.5240,-44.3804,-44.3804,0.0000
0.0140,4.5360,-44.4982,-44.4982,0.0000
0.0150,4.5300,-44.4393,-44.4393,0.0000
0.0160,4.5280,-44.4197,-44.4197,0.0000
0.0170,4.5390,-44.5276,-44.5276,0.0000
0.0180,4.5360,-44.4982,-44.4982,0.0000
0.0190,4.5410,-44.5472,-44.5472,0.0000
0.0200,4.5400,-44.5374,-44.5374,0.0000
0.0210,4.5360,-44.4982,-44.4982,0.0000
0.0220,4.5320,-44.4589,-44.4589,0.0000
0.0230,4.5310,-44.4491,-44.4491,0.0000
0.0240,4.5360,-44.4982,-44.4982,0.0000
0.0250,4.5500,-44.6355,-44.6355,0.0000
0.0260,4.5500,-44.6355,-44.6355,0.0000
0.0270,4.5360,-44.4982,-44.4982,0.0000
0.0280,4.5360,-44.4982,-44.4982,0.0000
0.0290,4.5530,-44.6649,-44.6649,0.0000
0.0300,4.5600,-44.7336,-44.7336,0.0000
0.0310,4.5570,-44.7042,-44.7042,0.0000
0.0320,4.5440,-44.5766,-44.5766,0.0000
0.0330,4.5540,-44.6747,-44.6747,0.0000
0.0340,4.5560,-44.6944,-44.6944,0.0000
0.0350,4.5500,-44.6355,-44.6355,0.0000
0.0360,4.5360,-44.4982,-44.4982,0.0000
0.0370,4.5510,-44.6453,-44.6453,0.0000
0.0380,4.5600,-44.7336,-44.7336,0.0000
0.0390,4.5630,-44.7630,-44.7630,0.0000
0.0400,4.5600,-44.7336,-44.7336,0.0000
0.0410,4.5510,-44.6453,-44.6453,0.0000
0.0420,4.5780,-44.9102,-44.9102,0.0000
0.0430,4.5580,-44.7140,-44.7140,0.0000
0.0440,4.5760,-44.8906,-44.8906,0.0000
0.0450,4.5450,-44.5865,-44.5864,0.0000
0.0460,4.5540,-44.6747,-44.6747,0.0000
0.0470,4.5590,-44.7238,-44.7238,0.0000
0.0480,4.5600,-44.7336,-44.7336,0.0000
0.0490,4.5570,-44.7042,-44.7042,0.0000
0.0500,4.5500,-44.6355,-44.6355,0.0000
0.0510,4.5900,-45.0279,-45.0279,0.0000
0.0520,4.5760,-44.8906,-44.8906,0.0000
0.0530,4.5580,-44.7140,-44.7140,0.0000
0.0540,4.5900,-45.0279,-45.0279,0.0000
0.0550,4.5650,-44.7826,-44.7827,0.0000
0.0560,4.5920,-45.0475,-45.0475,0.0000
0.0570,4.5600,-44.7336,-44.7336,0.0000
0.0580,4.5820,-44.9494,-44.9494,0.0000
0.0590,4.6020,-45.1456,-45.1456,0.0000
0.0600,4.5600,-44.7336,-44.7336,0.0000
0.0610,4.5750,-44.8808,-44.8807,0.0000
0.0620,4.5880,-45.0083,-45.0083,0.0000
0.0630,4.5990,-45.1162,-45.1162,0.0000
0.0640,4.6080,-45.2045,-45.2045,0.0000
0.0650,4.5500,-44.6355,-44.6355,0.0000
0.0660,4.5540,-44.6747,-44.6747,0.0000
0.0670,4.5560,-44.6944,-44.6944,0.0000
0.0680,4.5560,-44.6944,-44.6944,0.0000
0.0690,4.5540,-44.6747,-44.6747,0.0000
0.0700,4.6200,-45.3222,-45.3222,0.0000
0.0710,4.6150,-45.2732,-45.2732,0.0000
0.0720,4.6080,-45.2045,-45.2045,0.0000
0.0730,4.5990,-45.1162,-45.1162,0.0000
0.0740,4.5880,-45.0083,-45.0083,0.0000
0.0750,4.5750,-44.8808,-44.8808,0.0000
0.0760,4.5600,-44.7336,-44.7336,0.0000
0.0770,4.6200,-45.3222,-45.3222,0.0000
0.0780,4.6020,-45.1456,-45.1456,0.0000
0.0790,4.5820,-44.9494,-44.9494,0.0000
0.0800,4.5600,-44.7336,-44.7336,0.0000
0.0810,4.6170,-45.2928,-45.2928,0.0000
0.0820,4.5920,-45.0475,-45.0475,0.0000
0.0830,4.5650,-44.7827,-44.7827,0.0000
0.0840,4.6200,-45.3222,-45.3222,0.0000
0.0850,4.5900,-45.0279,-45.0279,0.0000
0.0860,4.6440,-45.5576,-45.5576,0.0000
0.0870,4.6110,-45.2339,-45.2339,0.0000
0.0880,4.5760,-44.8906,-44.8906,0.0000
0.0890,4.6280,-45.4007,-45.4007,0.0000
0.0900,4.5900,-45.0279,-45.0279,0.0000
0.0910,4.6410,-45.5282,-45.5282,0.0000
0.0920,4.6000,-45.1260,-45.1260,0.0000
0.0930,4.6500,-45.6165,-45.6165,0.0000
0.0940,4.6060,-45.1849,-45.1849,0.0000
0.0950,4.6550,-45.6656,-45.6656,0.0000
0.0960,4.6080,-45.2045,-45.2045,0.0000
