tempo,posicao,velocidade,aceleracao
0.0000,100.0000,0.0000,9.8100
0.1000,99.9019,0.9810,9.8072
0.2000,99.7057,1.9617,9.7989
0.3000,99.4116,2.9416,9.7851
0.4000,99.0196,3.9201,9.7658
0.5000,98.5299,4.8967,9.7410
0.6000,97.9428,5.8708,9.7108
0.7000,97.2586,6.8419,9.6752
0.8000,96.4777,7.8094,9.6344
0.9000,95.6004,8.7728,9.5884
1.0000,94.6272,9.7317,9.5374
1.1000,93.5587,10.6854,9.4813
1.2000,92.3953,11.6336,9.4204
1.3000,91.1378,12.5756,9.3547
1.4000,89.7867,13.5111,9.2845
1.5000,88.3427,14.4395,9.2098
1.6000,86.8067,15.3605,9.1308
1.7000,85.1793,16.2736,9.0476
1.8000,83.4615,17.1783,8.9605
1.9000,81.6540,18.0744,8.8696
2.0000,79.7579,18.9613,8.7750
2.1000,77.7740,19.8388,8.6770
2.2000,75.7034,20.7065,8.5757
2.3000,73.5469,21.5641,8.4714
2.4000,71.3058,22.4112,8.3641
2.5000,68.9811,23.2477,8.2542
2.6000,66.5737,24.0731,8.1417
2.7000,64.0850,24.8872,8.0270
2.8000,61.5160,25.6899,7.9101
2.9000,58.8679,26.4810,7.7913
3.0000,56.1419,27.2601,7.6708
3.1000,53.3392,28.0272,7.5487
3.2000,50.4610,28.7820,7.4252
3.3000,47.5086,29.5245,7.3006
3.4000,44.4831,30.2546,7.1750
3.5000,41.3859,30.9721,7.0485
3.6000,38.2182,31.6770,6.9214
3.7000,34.9813,32.3691,6.7938
3.8000,31.6764,33.0485,6.6658
3.9000,28.3049,33.7151,6.5377
4.0000,24.8680,34.3688,6.4096
4.1000,21.3671,35.0098,6.2816
4.2000,17.8033,35.6379,6.1538
4.3000,14.1779,36.2533,6.0265
4.4000,10.4923,36.8560,5.8996
4.5000,6.7478,37.4459,5.7734
4.6000,2.9454,38.0233,5.6480
4.7000,0.0000,0.0000,0.0000
