tempo,posicao,velocidade,aceleracao
0.0000,100.0000,0.0000,-9.8100
0.1000,100.0000,-0.9810,-9.8100
0.2000,99.9019,-1.9620,-9.8100
0.3000,99.7057,-2.9430,-9.8100
0.4000,99.4114,-3.9240,-9.8100
0.5000,99.0190,-4.9050,-9.8100
0.6000,98.5285,-5.8860,-9.8100
0.7000,97.9399,-6.8670,-9.8100
0.8000,97.2532,-7.8480,-9.8100
0.9000,96.4684,-8.8290,-9.8100
1.0000,95.5855,-9.8100,-9.8100
1.1000,94.6045,-10.7910,-9.8100
1.2000,93.5254,-11.7720,-9.8100
1.3000,92.3482,-12.7530,-9.8100
1.4000,91.0729,-13.7340,-9.8100
1.5000,89.6995,-14.7150,-9.8100
1.6000,88.2280,-15.6960,-9.8100
1.7000,86.6584,-16.6770,-9.8100
1.8000,84.9907,-17.6580,-9.8100
1.9000,83.2249,-18.6390,-9.8100
2.0000,81.3610,-19.6200,-9.8100
2.1000,79.3990,-20.6010,-9.8100
2.2000,77.3389,-21.5820,-9.8100
2.3000,75.1807,-22.5630,-9.8100
2.4000,72.9244,-23.5440,-9.8100
2.5000,70.5700,-24.5250,-9.8100
2.6000,68.1175,-25.5060,-9.8100
2.7000,65.5669,-26.4870,-9.8100
2.8000,62.9182,-27.4680,-9.8100
2.9000,60.1714,-28.4490,-9.8100
3.0000,57.3265,-29.4300,-9.8100
3.1000,54.3835,-30.4110,-9.8100
3.2000,51.3424,-31.3920,-9.8100
3.3000,48.2032,-32.3730,-9.8100
3.4000,44.9659,-33.3540,-9.8100
3.5000,41.6305,-34.3350,-9.8100
3.6000,38.1970,-35.3160,-9.8100
3.7000,34.6654,-36.2970,-9.8100
3.8000,31.0357,-37.2780,-9.8100
3.9000,27.3079,-38.2590,-9.8100
4.0000,23.4820,-39.2400,-9.8100
4.1000,19.5580,-40.2210,-9.8100
4.2000,15.5359,-41.2020,-9.8100
4.3000,11.4157,-42.1830,-9.8100
4.4000,7.1974,-43.1640,-9.8100
4.5000,2.8810,-44.1450,-9.8100
4.6000,0.0000,-45.1260,-9.8100
