tempo,posicao,velocidade,aceleracao
0.0000,100.0000,0.0000,-9.8100
0.0100,100.0000,-0.0981,-9.8100
0.0200,99.9990,-0.1962,-9.8100
0.0300,99.9971,-0.2943,-9.8100
0.0400,99.9941,-0.3924,-9.8100
0.0500,99.9902,-0.4905,-9.8100
0.0600,99.9853,-0.5886,-9.8100
0.0700,99.9794,-0.6867,-9.8100
0.0800,99.9725,-0.7848,-9.8100
0.0900,99.9647,-0.8829,-9.8100
0.1000,99.9559,-0.9810,-9.8100
0.1100,99.9460,-1.0791,-9.8100
0.1200,99.9353,-1.1772,-9.8100
0.1300,99.9235,-1.2753,-9.8100
0.1400,99.9107,-1.3734,-9.8100
0.1500,99.8970,-1.4715,-9.8100
0.1600,99.8823,-1.5696,-9.8100
0.1700,99.8666,-1.6677,-9.8100
0.1800,99.8499,-1.7658,-9.8100
0.1900,99.8322,-1.8639,-9.8100
0.2000,99.8136,-1.9620,-9.8100
0.2100,99.7940,-2.0601,-9.8100
0.2200,99.7734,-2.1582,-9.8100
0.2300,99.7518,-2.2563,-9.8100
0.2400,99.7292,-2.3544,-9.8100
0.2500,99.7057,-2.4525,-9.8100
0.2600,99.6812,-2.5506,-9.8100
0.2700,99.6557,-2.6487,-9.8100
0.2800,99.6292,-2.7468,-9.8100
0.2900,99.6017,-2.8449,-9.8100
0.3000,99.5733,-2.9430,-9.8100
0.3100,99.5438,-3.0411,-9.8100
0.3200,99.5134,-3.1392,-9.8100
0.3300,99.4820,-3.2373,-9.8100
0.3400,99.4497,-3.3354,-9.8100
0.3500,99.4163,-3.4335,-9.8100
0.3600,99.3820,-3.5316,-9.8100
0.3700,99.3467,-3.6297,-9.8100
0.3800,99.3104,-3.7278,-9.8100
0.3900,99.2731,-3.8259,-9.8100
0.4000,99.2348,-3.9240,-9.8100
0.4100,99.1956,-4.0221,-9.8100
0.4200,99.1554,-4.1202,-9.8100
0.4300,99.1142,-4.2183,-9.8100
0.4400,99.0720,-4.3164,-9.8100
0.4500,99.0288,-4.4145,-9.8100
0.4600,98.9847,-4.5126,-9.8100
0.4700,98.9395,-4.6107,-9.8100
0.4800,98.8934,-4.7088,-9.8100
0.4900,98.8463,-4.8069,-9.8100
0.5000,98.7983,-4.9050,-9.8100
0.5100,98.7492,-5.0031,-9.8100
0.5200,98.6992,-5.1012,-9.8100
0.5300,98.6482,-5.1993,-9.8100
0.5400,98.5962,-5.2974,-9.8100
0.5500,98.5432,-5.3955,-9.8100
0.5600,98.4893,-5.4936,-9.8100
0.5700,98.4343,-5.5917,-9.8100
0.5800,98.3784,-5.6898,-9.8100
0.5900,98.3215,-5.7879,-9.8100
0.6000,98.2636,-5.8860,-9.8100
0.6100,98.2048,-5.9841,-9.8100
0.6200,98.1449,-6.0822,-9.8100
0.6300,98.0841,-6.1803,-9.8100
0.6400,98.0223,-6.2784,-9.8100
0.6500,97.9595,-6.3765,-9.8100
0.6600,97.8958,-6.4746,-9.8100
0.6700,97.8310,-6.5727,-9.8100
0.6800,97.7653,-6.6708,-9.8100
0.6900,97.6986,-6.7689,-9.8100
0.7000,97.6309,-6.8670,-9.8100
0.7100,97.5622,-6.9651,-9.8100
0.7200,97.4926,-7.0632,-9.8100
0.7300,97.4219,-7.1613,-9.8100
0.7400,97.3503,-7.2594,-9.8100
0.7500,97.2777,-7.3575,-9.8100
0.7600,97.2042,-7.4556,-9.8100
0.7700,97.1296,-7.5537,-9.8100
0.7800,97.0541,-7.6518,-9.8100
0.7900,96.9775,-7.7499,-9.8100
0.8000,96.9000,-7.8480,-9.8100
0.8100,96.8216,-7.9461,-9.8100
0.8200,96.7421,-8.0442,-9.8100
0.8300,96.6617,-8.1423,-9.8100
0.8400,96.5802,-8.2404,-9.8100
0.8500,96.4978,-8.3385,-9.8100
0.8600,96.4144,-8.4366,-9.8100
0.8700,96.3301,-8.5347,-9.8100
0.8800,96.2447,-8.6328,-9.8100
0.8900,96.1584,-8.7309,-9.8100
0.9000,96.0711,-8.8290,-9.8100
0.9100,95.9828,-8.9271,-9.8100
0.9200,95.8935,-9.0252,-9.8100
0.9300,95.8033,-9.1233,-9.8100
0.9400,95.7120,-9.2214,-9.8100
0.9500,95.6198,-9.3195,-9.8100
0.9600,95.5266,-9.4176,-9.8100
0.9700,95.4325,-9.5157,-9.8100
0.9800,95.3373,-9.6138,-9.8100
0.9900,95.2412,-9.7119,-9.8100
1.0000,95.1441,-9.8100,-9.8100
1.0100,95.0460,-9.9081,-9.8100
1.0200,94.9469,-10.0062,-9.8100
1.0300,94.8468,-10.1043,-9.8100
1.0400,94.7458,-10.2024,-9.8100
1.0500,94.6437,-10.3005,-9.8100
1.0600,94.5407,-10.3986,-9.8100
1.0700,94.4367,-10.4967,-9.8100
1.0800,94.3318,-10.5948,-9.8100
1.0900,94.2258,-10.6929,-9.8100
1.1000,94.1189,-10.7910,-9.8100
1.1100,94.0110,-10.8891,-9.8100
1.1200,93.9021,-10.9872,-9.8100
1.1300,93.7922,-11.0853,-9.8100
1.1400,93.6814,-11.1834,-9.8100
1.1500,93.5695,-11.2815,-9.8100
1.1600,93.4567,-11.3796,-9.8100
1.1700,93.3429,-11.4777,-9.8100
1.1800,93.2282,-11.5758,-9.8100
1.1900,93.1124,-11.6739,-9.8100
1.2000,92.9957,-11.7720,-9.8100
1.2100,92.8779,-11.8701,-9.8100
1.2200,92.7592,-11.9682,-9.8100
1.2300,92.6396,-12.0663,-9.8100
1.2400,92.5189,-12.1644,-9.8100
1.2500,92.3973,-12.2625,-9.8100
1.2600,92.2746,-12.3606,-9.8100
1.2700,92.1510,-12.4587,-9.8100
1.2800,92.0264,-12.5568,-9.8100
1.2900,91.9009,-12.6549,-9.8100
1.3000,91.7743,-12.7530,-9.8100
1.3100,91.6468,-12.8511,-9.8100
1.3200,91.5183,-12.9492,-9.8100
1.3300,91.3888,-13.0473,-9.8100
1.3400,91.2583,-13.1454,-9.8100
1.3500,91.1269,-13.2435,-9.8100
1.3600,90.9944,-13.3416,-9.8100
1.3700,90.8610,-13.4397,-9.8100
1.3800,90.7266,-13.5378,-9.8100
1.3900,90.5912,-13.6359,-9.8100
1.4000,90.4549,-13.7340,-9.8100
1.4100,90.3175,-13.8321,-9.8100
1.4200,90.1792,-13.9302,-9.8100
1.4300,90.0399,-14.0283,-9.8100
1.4400,89.8996,-14.1264,-9.8100
1.4500,89.7584,-14.2245,-9.8100
1.4600,89.6161,-14.3226,-9.8100
1.4700,89.4729,-14.4207,-9.8100
1.4800,89.3287,-14.5188,-9.8100
1.4900,89.1835,-14.6169,-9.8100
1.5000,89.0373,-14.7150,-9.8100
1.5100,88.8902,-14.8131,-9.8100
1.5200,88.7420,-14.9112,-9.8100
1.5300,88.5929,-15.0093,-9.8100
1.5400,88.4428,-15.1074,-9.8100
1.5500,88.2918,-15.2055,-9.8100
1.5600,88.1397,-15.3036,-9.8100
1.5700,87.9867,-15.4017,-9.8100
