tempo,posicao,velocidade,aceleracao
0.0000,100.0000,0.0000,9.8100
0.0100,99.9990,0.0981,9.8100
0.0200,99.9971,0.1962,9.8099
0.0300,99.9941,0.2943,9.8098
0.0400,99.9902,0.3924,9.8096
0.0500,99.9853,0.4905,9.8093
0.0600,99.9794,0.5886,9.8090
0.0700,99.9725,0.6867,9.8086
0.0800,99.9647,0.7848,9.8082
0.0900,99.9559,0.8828,9.8078
0.1000,99.9460,0.9809,9.8072
0.1100,99.9353,1.0790,9.8066
0.1200,99.9235,1.1771,9.8060
0.1300,99.9107,1.2751,9.8053
0.1400,99.8970,1.3732,9.8046
0.1500,99.8823,1.4712,9.8038
0.1600,99.8666,1.5693,9.8029
0.1700,99.8499,1.6673,9.8020
0.1800,99.8323,1.7653,9.8010
0.1900,99.8136,1.8633,9.8000
0.2000,99.7940,1.9613,9.7989
0.2100,99.7734,2.0593,9.7978
0.2200,99.7519,2.1573,9.7966
0.2300,99.7293,2.2552,9.7954
0.2400,99.7058,2.3532,9.7941
0.2500,99.6813,2.4511,9.7927
0.2600,99.6558,2.5491,9.7913
0.2700,99.6293,2.6470,9.7898
0.2800,99.6019,2.7449,9.7883
0.2900,99.5734,2.8428,9.7867
0.3000,99.5440,2.9406,9.7851
0.3100,99.5136,3.0385,9.7834
0.3200,99.4823,3.1363,9.7817
0.3300,99.4499,3.2341,9.7799
0.3400,99.4166,3.3319,9.7780
0.3500,99.3823,3.4297,9.7761
0.3600,99.3470,3.5275,9.7742
0.3700,99.3108,3.6252,9.7722
0.3800,99.2736,3.7229,9.7701
0.3900,99.2354,3.8206,9.7680
0.4000,99.1962,3.9183,9.7658
0.4100,99.1560,4.0160,9.7636
0.4200,99.1149,4.1136,9.7613
0.4300,99.0728,4.2112,9.7589
0.4400,99.0297,4.3088,9.7566
0.4500,98.9856,4.4064,9.7541
0.4600,98.9406,4.5039,9.7516
0.4700,98.8946,4.6014,9.7490
0.4800,98.8476,4.6989,9.7464
0.4900,98.7996,4.7964,9.7438
0.5000,98.7507,4.8938,9.7411
0.5100,98.7008,4.9912,9.7383
0.5200,98.6499,5.0886,9.7355
0.5300,98.5980,5.1860,9.7326
0.5400,98.5452,5.2833,9.7296
0.5500,98.4914,5.3806,9.7267
0.5600,98.4366,5.4779,9.7236
0.5700,98.3808,5.5751,9.7205
0.5800,98.3241,5.6723,9.7174
0.5900,98.2664,5.7695,9.7142
0.6000,98.2078,5.8666,9.7109
0.6100,98.1481,5.9637,9.7076
0.6200,98.0875,6.0608,9.7043
0.6300,98.0259,6.1579,9.7008
0.6400,97.9634,6.2549,9.6974
0.6500,97.8999,6.3518,9.6939
0.6600,97.8354,6.4488,9.6903
0.6700,97.7699,6.5457,9.6867
0.6800,97.7035,6.6425,9.6830
0.6900,97.6361,6.7394,9.6792
0.7000,97.5677,6.8362,9.6755
0.7100,97.4984,6.9329,9.6716
0.7200,97.4281,7.0296,9.6677
0.7300,97.3568,7.1263,9.6638
0.7400,97.2846,7.2230,9.6598
0.7500,97.2114,7.3195,9.6558
0.7600,97.1373,7.4161,9.6517
0.7700,97.0621,7.5126,9.6475
0.7800,96.9860,7.6091,9.6433
0.7900,96.9090,7.7055,9.6391
0.8000,96.8310,7.8019,9.6348
0.8100,96.7520,7.8983,9.6304
0.8200,96.6720,7.9946,9.6260
0.8300,96.5911,8.0908,9.6216
0.8400,96.5093,8.1871,9.6170
0.8500,96.4264,8.2832,9.6125
0.8600,96.3426,8.3793,9.6079
0.8700,96.2579,8.4754,9.6032
0.8800,96.1722,8.5715,9.5985
0.8900,96.0855,8.6674,9.5937
0.9000,95.9979,8.7634,9.5889
0.9100,95.9093,8.8593,9.5841
0.9200,95.8197,8.9551,9.5791
0.9300,95.7292,9.0509,9.5742
0.9400,95.6377,9.1466,9.5692
0.9500,95.5453,9.2423,9.5641
0.9600,95.4519,9.3380,9.5590
0.9700,95.3576,9.4336,9.5538
0.9800,95.2623,9.5291,9.5486
0.9900,95.1661,9.6246,9.5433
1.0000,95.0689,9.7200,9.5380
1.0100,94.9707,9.8154,9.5327
1.0200,94.8716,9.9107,9.5272
1.0300,94.7715,10.0060,9.5218
1.0400,94.6705,10.1012,9.5163
1.0500,94.5686,10.1964,9.5107
1.0600,94.4657,10.2915,9.5051
1.0700,94.3618,10.3865,9.4994
1.0800,94.2570,10.4815,9.4937
1.0900,94.1512,10.5765,9.4880
1.1000,94.0445,10.6714,9.4822
1.1100,93.9368,10.7662,9.4763
1.1200,93.8282,10.8609,9.4704
1.1300,93.7187,10.9556,9.4645
1.1400,93.6082,11.0503,9.4585
1.1500,93.4967,11.1449,9.4524
1.1600,93.3843,11.2394,9.4463
1.1700,93.2710,11.3339,9.4402
1.1800,93.1567,11.4283,9.4340
1.1900,93.0415,11.5226,9.4278
1.2000,92.9253,11.6169,9.4215
1.2100,92.8082,11.7111,9.4152
1.2200,92.6901,11.8052,9.4088
1.2300,92.5711,11.8993,9.4024
1.2400,92.4512,11.9934,9.3959
1.2500,92.3303,12.0873,9.3894
1.2600,92.2085,12.1812,9.3828
1.2700,92.0858,12.2750,9.3762
1.2800,91.9621,12.3688,9.3696
1.2900,91.8375,12.4625,9.3629
1.3000,91.7119,12.5561,9.3561
1.3100,91.5854,12.6497,9.3494
1.3200,91.4580,12.7432,9.3425
1.3300,91.3296,12.8366,9.3356
1.3400,91.2003,12.9300,9.3287
1.3500,91.0701,13.0232,9.3217
1.3600,90.9389,13.1165,9.3147
1.3700,90.8068,13.2096,9.3077
1.3800,90.6738,13.3027,9.3006
1.3900,90.5398,13.3957,9.2934
1.4000,90.4049,13.4886,9.2862
1.4100,90.2691,13.5815,9.2790
1.4200,90.1324,13.6743,9.2717
1.4300,89.9947,13.7670,9.2644
1.4400,89.8561,13.8596,9.2570
1.4500,89.7166,13.9522,9.2496
1.4600,89.5762,14.0447,9.2422
1.4700,89.4348,14.1371,9.2347
1.4800,89.2925,14.2295,9.2271
1.4900,89.1493,14.3217,9.2195
1.5000,89.0051,14.4139,9.2119
1.5100,88.8601,14.5061,9.2042
1.5200,88.7141,14.5981,9.1965
1.5300,88.5672,14.6901,9.1888
1.5400,88.4194,14.7820,9.1810
1.5500,88.2706,14.8738,9.1731
1.5600,88.1210,14.9655,9.1653
1.5700,87.9704,15.0572,9.1573
1.5800,87.8189,15.1487,9.1494
1.5900,87.6665,15.2402,9.1414
1.6000,87.5132,15.3316,9.1333
1.6100,87.3590,15.4230,9.1252
1.6200,87.2038,15.5142,9.1171
1.6300,87.0478,15.6054,9.1089
1.6400,86.8908,15.6965,9.1007
1.6500,86.7329,15.7875,9.0925
1.6600,86.5741,15.8784,9.0842
1.6700,86.4145,15.9693,9.0759
1.6800,86.2539,16.0600,9.0675
1.6900,86.0924,16.1507,9.0591
1.7000,85.9299,16.2413,9.0506
1.7100,85.7666,16.3318,9.0422
1.7200,85.6024,16.4222,9.0336
1.7300,85.4373,16.5125,9.0251
1.7400,85.2712,16.6028,9.0165
1.7500,85.1043,16.6930,9.0078
1.7600,84.9365,16.7830,8.9991
1.7700,84.7678,16.8730,8.9904
1.7800,84.5981,16.9629,8.9817
1.7900,84.4276,17.0527,8.9729
1.8000,84.2562,17.1425,8.9640
1.8100,84.0839,17.2321,8.9552
1.8200,83.9106,17.3217,8.9463
1.8300,83.7365,17.4111,8.9373
1.8400,83.5615,17.5005,8.9283
1.8500,83.3856,17.5898,8.9193
1.8600,83.2088,17.6790,8.9103
1.8700,83.0311,17.7681,8.9012
1.8800,82.8526,17.8571,8.8920
1.8900,82.6731,17.9460,8.8829
1.9000,82.4928,18.0348,8.8737
1.9100,82.3115,18.1236,8.8644
1.9200,82.1294,18.2122,8.8552
1.9300,81.9464,18.3008,8.8459
1.9400,81.7625,18.3892,8.8365
1.9500,81.5777,18.4776,8.8271
1.9600,81.3921,18.5659,8.8177
1.9700,81.2055,18.6540,8.8083
1.9800,81.0181,18.7421,8.7988
1.9900,80.8298,18.8301,8.7893
2.0000,80.6406,18.9180,8.7797
2.0100,80.4506,19.0058,8.7701
2.0200,80.2596,19.0935,8.7605
2.0300,80.0678,19.1811,8.7509
2.0400,79.8751,19.2686,8.7412
2.0500,79.6816,19.3560,8.7315
2.0600,79.4871,19.4434,8.7217
2.0700,79.2918,19.5306,8.7119
2.0800,79.0957,19.6177,8.7021
2.0900,78.8986,19.7047,8.6923
2.1000,78.7007,19.7916,8.6824
2.1100,78.5019,19.8785,8.6725
2.1200,78.3023,19.9652,8.6625
2.1300,78.1017,20.0518,8.6525
2.1400,77.9004,20.1383,8.6425
2.1500,77.6981,20.2248,8.6325
2.1600,77.4950,20.3111,8.6224
2.1700,77.2910,20.3973,8.6123
2.1800,77.0862,20.4834,8.6022
2.1900,76.8805,20.5694,8.5920
2.2000,76.6740,20.6554,8.5818
2.2100,76.4665,20.7412,8.5716
2.2200,76.2583,20.8269,8.5613
2.2300,76.0491,20.9125,8.5510
2.2400,75.8392,20.9980,8.5407
2.2500,75.6283,21.0834,8.5304
2.2600,75.4166,21.1687,8.5200
2.2700,75.2041,21.2539,8.5096
2.2800,74.9907,21.3390,8.4991
2.2900,74.7765,21.4240,8.4887
2.3000,74.5614,21.5089,8.4782
2.3100,74.3454,21.5937,8.4677
2.3200,74.1287,21.6784,8.4571
2.3300,73.9110,21.7629,8.4466
2.3400,73.6926,21.8474,8.4359
2.3500,73.4732,21.9318,8.4253
2.3600,73.2531,22.0160,8.4147
2.3700,73.0321,22.1002,8.4040
2.3800,72.8102,22.1842,8.3933
2.3900,72.5876,22.2681,8.3825
2.4000,72.3640,22.3520,8.3717
2.4100,72.1397,22.4357,8.3610
2.4200,71.9145,22.5193,8.3501
2.4300,71.6885,22.6028,8.3393
2.4400,71.4616,22.6862,8.3284
2.4500,71.2339,22.7695,8.3175
2.4600,71.0054,22.8526,8.3066
2.4700,70.7760,22.9357,8.2956
2.4800,70.5458,23.0187,8.2847
2.4900,70.3148,23.1015,8.2737
2.5000,70.0830,23.1842,8.2626
2.5100,69.8503,23.2669,8.2516
2.5200,69.6168,23.3494,8.2405
2.5300,69.3825,23.4318,8.2294
2.5400,69.1474,23.5141,8.2183
2.5500,68.9114,23.5963,8.2072
2.5600,68.6746,23.6783,8.1960
2.5700,68.4370,23.7603,8.1848
2.5800,68.1986,23.8422,8.1736
2.5900,67.9593,23.9239,8.1623
2.6000,67.7193,24.0055,8.1511
2.6100,67.4784,24.0870,8.1398
2.6200,67.2367,24.1684,8.1285
2.6300,66.9942,24.2497,8.1172
2.6400,66.7509,24.3309,8.1058
2.6500,66.5068,24.4119,8.0944
2.6600,66.2619,24.4929,8.0830
2.6700,66.0161,24.5737,8.0716
2.6800,65.7696,24.6544,8.0602
2.6900,65.5223,24.7350,8.0487
2.7000,65.2741,24.8155,8.0372
2.7100,65.0251,24.8959,8.0257
2.7200,64.7754,24.9761,8.0142
2.7300,64.5248,25.0563,8.0027
2.7400,64.2734,25.1363,7.9911
2.7500,64.0213,25.2162,7.9795
2.7600,63.7683,25.2960,7.9679
2.7700,63.5146,25.3757,7.9563
2.7800,63.2600,25.4553,7.9447
