tempo(s)	posicao(m)	velocidade(m/s)
0.0000	100.0000	0.0000
0.1000	100.0000	-0.9810
0.2000	99.9019	-1.9718
0.3000	99.7047	-2.9725
0.4000	99.4075	-3.9833
0.5000	99.0091	-5.0041
0.6000	98.5087	-6.0351
0.7000	97.9052	-7.0765
0.8000	97.1976	-8.1282
0.9000	96.3847	-9.1905
1.0000	95.4657	-10.2634
1.1000	94.4394	-11.3471
1.2000	93.3046	-12.4415
1.3000	92.0605	-13.5470
1.4000	90.7058	-14.6634
1.5000	89.2395	-15.7911
1.6000	87.6603	-16.9300
1.7000	85.9674	-18.0803
1.8000	84.1593	-19.2421
1.9000	82.2351	-20.4155
2.0000	80.1936	-21.6006
2.1000	78.0335	-22.7976
2.2000	75.7537	-24.0066
2.3000	73.3531	-25.2277
2.4000	70.8303	-26.4610
2.5000	68.1842	-27.7066
2.6000	65.4136	-28.9646
2.7000	62.5171	-30.2353
2.8000	59.4936	-31.5186
2.9000	56.3417	-32.8148
3.0000	53.0602	-34.1240
3.1000	49.6478	-35.4462
3.2000	46.1032	-36.7817
3.3000	42.4250	-38.1305
3.4000	38.6120	-39.4928
3.5000	34.6627	-40.8687
3.6000	30.5758	-42.2584
3.7000	26.3500	-43.6620
3.8000	21.9838	-45.0796
3.9000	17.4758	-46.5114
4.0000	12.8247	-47.9575
4.1000	8.0289	-49.4181
4.2000	3.0871	-50.8933
4.3000	0.0000	-52.3832
