tempo_s,posicao_m,velocidade_m_s
0.0000,100.0000,0.0000
0.0010,100.0000,-0.0098
0.0020,100.0000,-0.0196
0.0030,100.0000,-0.0294
0.0040,99.9999,-0.0392
0.0050,99.9999,-0.0491
0.0060,99.9999,-0.0589
0.0070,99.9998,-0.0687
0.0080,99.9997,-0.0785
0.0090,99.9996,-0.0883
0.0100,99.9996,-0.0981
0.0110,99.9995,-0.1079
0.0120,99.9994,-0.1177
0.0130,99.9992,-0.1275
0.0140,99.9991,-0.1373
0.0150,99.9990,-0.1472
0.0160,99.9988,-0.1570
0.0170,99.9987,-0.1668
0.0180,99.9985,-0.1766
0.0190,99.9983,-0.1864
0.0200,99.9981,-0.1962
0.0210,99.9979,-0.2060
0.0220,99.9977,-0.2158
0.0230,99.9975,-0.2257
0.0240,99.9973,-0.2355
0.0250,99.9971,-0.2453
0.0260,99.9968,-0.2551
0.0270,99.9966,-0.2649
0.0280,99.9963,-0.2747
0.0290,99.9960,-0.2845
0.0300,99.9957,-0.2943
0.0310,99.9954,-0.3042
0.0320,99.9951,-0.3140
0.0330,99.9948,-0.3238
0.0340,99.9945,-0.3336
0.0350,99.9942,-0.3434
0.0360,99.9938,-0.3532
0.0370,99.9935,-0.3630
0.0380,99.9931,-0.3728
0.0390,99.9927,-0.3827
0.0400,99.9923,-0.3925
0.0410,99.9920,-0.4023
0.0420,99.9916,-0.4121
0.0430,99.9911,-0.4219
0.0440,99.9907,-0.4317
0.0450,99.9903,-0.4415
0.0460,99.9898,-0.4514
0.0470,99.9894,-0.4612
0.0480,99.9889,-0.4710
0.0490,99.9885,-0.4808
0.0500,99.9880,-0.4906
0.0510,99.9875,-0.5004
0.0520,99.9870,-0.5103
0.0530,99.9865,-0.5201
0.0540,99.9860,-0.5299
0.0550,99.9854,-0.5397
0.0560,99.9849,-0.5495
0.0570,99.9843,-0.5593
0.0580,99.9838,-0.5691
0.0590,99.9832,-0.5790
0.0600,99.9826,-0.5888
0.0610,99.9820,-0.5986
0.0620,99.9814,-0.6084
0.0630,99.9808,-0.6182
0.0640,99.9802,-0.6280
0.0650,99.9796,-0.6379
0.0660,99.9790,-0.6477
0.0670,99.9783,-0.6575
0.0680,99.9776,-0.6673
0.0690,99.9770,-0.6771
0.0700,99.9763,-0.6869
0.0710,99.9756,-0.6968
0.0720,99.9749,-0.7066
0.0730,99.9742,-0.7164
0.0740,99.9735,-0.7262
0.0750,99.9728,-0.7360
0.0760,99.9720,-0.7458
0.0770,99.9713,-0.7557
