tempo,posicao,velocidade,aceleracao
0.0000,100.0000,0.0000,-9.8100
0.0100,100.0000,-0.0981,-10.7910
0.0200,99.9990,-0.2060,-11.8701
0.0300,99.9970,-0.3247,-13.0571
0.0400,99.9937,-0.4553,-14.3628
0.0500,99.9892,-0.5989,-15.7991
0.0600,99.9832,-0.7569,-17.3790
0.0700,99.9756,-0.9307,-19.1169
0.0800,99.9663,-1.1219,-21.0286
0.0900,99.9551,-1.3321,-23.1315
0.1000,99.9418,-1.5635,-25.4446
0.1100,99.9261,-1.8179,-27.9891
0.1200,99.9079,-2.0978,-30.7880
0.1300,99.8870,-2.4057,-33.8668
0.1400,99.8629,-2.7443,-37.2535
0.1500,99.8355,-3.1169,-40.9788
0.1600,99.8043,-3.5267,-45.0767
0.1700,99.7690,-3.9774,-49.5844
0.1800,99.7293,-4.4733,-54.5428
0.1900,99.6845,-5.0187,-59.9971
0.2000,99.6343,-5.6187,-65.9968
0.2100,99.5781,-6.2786,-72.5965
0.2200,99.5154,-7.0046,-79.8561
0.2300,99.4453,-7.8032,-87.8417
0.2400,99.3673,-8.6816,-96.6259
0.2500,99.2805,-9.6478,-106.2885
0.2600,99.1840,-10.7107,-116.9173
0.2700,99.0769,-11.8799,-128.6090
0.2800,98.9581,-13.1660,-141.4699
0.2900,98.8264,-14.5807,-155.6169
0.3000,98.6806,-16.1369,-171.1786
0.3100,98.5192,-17.8486,-188.2965
0.3200,98.3408,-19.7316,-207.1261
0.3300,98.1434,-21.8029,-227.8388
0.3400,97.9254,-24.0813,-250.6226
0.3500,97.6846,-26.5875,-275.6849
0.3600,97.4187,-29.3443,-303.2534
0.3700,97.1253,-32.3769,-333.5787
0.3800,96.8015,-35.7127,-366.9366
0.3900,96.4444,-39.3820,-403.6303
0.4000,96.0506,-43.4183,-443.9933
0.4100,95.6164,-47.8583,-488.3926
0.4200,95.1378,-52.7422,-537.2319
0.4300,94.6104,-58.1145,-590.9551
0.4400,94.0292,-64.0241,-650.0506
0.4500,93.3890,-70.5246,-715.0556
0.4600,92.6837,-77.6751,-786.5612
0.4700,91.9070,-85.5407,-865.2173
0.4800,91.0516,-94.1929,-951.7391
0.4900,90.1097,-103.7103,-1046.9130
0.5000,89.0726,-114.1794,-1151.6043
0.5100,87.9308,-125.6955,-1266.7647
0.5200,86.6738,-138.3631,-1393.4412
0.5300,85.2902,-152.2975,-1532.7853
0.5400,83.7672,-167.6254,-1686.0638
0.5500,82.0909,-184.4860,-1854.6702
0.5600,80.2461,-203.0327,-2040.1372
0.5700,78.2158,-223.4341,-2244.1509
0.5800,75.9814,-245.8756,-2468.5660
0.5900,73.5227,-270.5613,-2715.4226
0.6000,70.8171,-297.7155,-2986.9649
0.6100,67.8399,-327.5851,-3285.6614
0.6200,64.5640,-360.4418,-3614.2275
0.6300,60.9596,-396.5840,-3975.6503
0.6400,56.9938,-436.3405,-4373.2153
0.6500,52.6304,-480.0727,-4810.5368
0.6600,47.8297,-528.1780,-5291.5905
0.6700,42.5479,-581.0940,-5820.7495
0.6800,36.7369,-639.3015,-6402.8245
0.6900,30.3439,-703.3297,-7043.1070
0.7000,23.3106,-773.7608,-7747.4176
0.7100,15.5730,-851.2349,-8522.1594
0.7200,7.0607,-936.4565,-9374.3754
0.7300,0.0000,-1030.2003,-10311.8129
