tempo,posicao,velocidade,aceleracao
0.0000,100.0000,0.0000,-9.8100
0.1000,100.0000,-0.9810,-9.8198
0.2000,99.9019,-1.9630,-9.8296
0.3000,99.7056,-2.9459,-9.8395
0.4000,99.4110,-3.9299,-9.8493
0.5000,99.0180,-4.9148,-9.8591
0.6000,98.5265,-5.9007,-9.8690
0.7000,97.9365,-6.8876,-9.8789
0.8000,97.2477,-7.8755,-9.8888
0.9000,96.4601,-8.8644,-9.8986
1.0000,95.5737,-9.8543,-9.9085
1.1000,94.5883,-10.8451,-9.9185
1.2000,93.5038,-11.8370,-9.9284
1.3000,92.3201,-12.8298,-9.9383
1.4000,91.0371,-13.8236,-9.9482
1.5000,89.6547,-14.8185,-9.9582
1.6000,88.1729,-15.8143,-9.9681
1.7000,86.5915,-16.8111,-9.9781
1.8000,84.9103,-17.8089,-9.9881
1.9000,83.1295,-18.8077,-9.9981
2.0000,81.2487,-19.8075,-10.0081
2.1000,79.2679,-20.8083,-10.0181
2.2000,77.1871,-21.8101,-10.0281
2.3000,75.0061,-22.8129,-10.0381
2.4000,72.7248,-23.8168,-10.0482
2.5000,70.3431,-24.8216,-10.0582
2.6000,67.8610,-25.8274,-10.0683
2.7000,65.2782,-26.8342,-10.0783
2.8000,62.5948,-27.8421,-10.0884
2.9000,59.8106,-28.8509,-10.0985
3.0000,56.9255,-29.8607,-10.1086
3.1000,53.9394,-30.8716,-10.1187
3.2000,50.8523,-31.8835,-10.1288
3.3000,47.6639,-32.8964,-10.1390
3.4000,44.3743,-33.9103,-10.1491
3.5000,40.9833,-34.9252,-10.1593
3.6000,37.4908,-35.9411,-10.1694
3.7000,33.8966,-36.9580,-10.1796
3.8000,30.2008,-37.9760,-10.1898
3.9000,26.4032,-38.9950,-10.1999
4.0000,22.5037,-40.0150,-10.2101
4.1000,18.5022,-41.0360,-10.2204
4.2000,14.3986,-42.0580,-10.2306
4.3000,10.1928,-43.0811,-10.2408
4.4000,5.8847,-44.1052,-10.2511
4.5000,1.4742,-45.1303,-10.2613
4.6000,0.0000,-46.1564,-10.2716
