# tempo(s)	posicao(m)	velocidade(m/s)	aceleracao(m/s^2)
0.00000	100.00000	0.00000	-9.81000
0.01000	100.00000	-0.09810	-9.81000
0.02000	99.99902	-0.19620	-9.81000
0.03000	99.99706	-0.29430	-9.81000
0.04000	99.99411	-0.39240	-9.81000
0.05000	99.99019	-0.49050	-9.81000
0.06000	99.98529	-0.58860	-9.81000
0.07000	99.97940	-0.68670	-9.81000
0.08000	99.97253	-0.78480	-9.81000
0.09000	99.96468	-0.88290	-9.81000
0.10000	99.95585	-0.98100	-9.81000
0.11000	99.94604	-1.07910	-9.81000
0.12000	99.93525	-1.17720	-9.81000
0.13000	99.92348	-1.27530	-9.81000
0.14000	99.91073	-1.37340	-9.81000
0.15000	99.89700	-1.47150	-9.81000
0.16000	99.88228	-1.56960	-9.81000
0.17000	99.86658	-1.66770	-9.81000
0.18000	99.84991	-1.76580	-9.81000
0.19000	99.83225	-1.86390	-9.81000
0.20000	99.81361	-1.96200	-9.81000
0.21000	99.79399	-2.06010	-9.81000
0.22000	99.77339	-2.15820	-9.81000
0.23000	99.75181	-2.25630	-9.81000
0.24000	99.72924	-2.35440	-9.81000
0.25000	99.70570	-2.45250	-9.81000
0.26000	99.68118	-2.55060	-9.81000
0.27000	99.65567	-2.64870	-9.81000
0.28000	99.62918	-2.74680	-9.81000
0.29000	99.60171	-2.84490	-9.81000
0.30000	99.57327	-2.94300	-9.81000
0.31000	99.54384	-3.04110	-9.81000
0.32000	99.51342	-3.13920	-9.81000
0.33000	99.48203	-3.23730	-9.81000
0.34000	99.44966	-3.33540	-9.81000
0.35000	99.41631	-3.43350	-9.81000
0.36000	99.38197	-3.53160	-9.81000
0.37000	99.34665	-3.62970	-9.81000
0.38000	99.31036	-3.72780	-9.81000
0.39000	99.27308	-3.82590	-9.81000
0.40000	99.23482	-3.92400	-9.81000
0.41000	99.19558	-4.02210	-9.81000
0.42000	99.15536	-4.12020	-9.81000
0.43000	99.11416	-4.21830	-9.81000
0.44000	99.07197	-4.31640	-9.81000
0.45000	99.02881	-4.41450	-9.81000
0.46000	98.98467	-4.51260	-9.81000
0.47000	98.93954	-4.61070	-9.81000
0.48000	98.89343	-4.70880	-9.81000
0.49000	98.84634	-4.80690	-9.81000
0.50000	98.79828	-4.90500	-9.81000
0.51000	98.74923	-5.00310	-9.81000
0.52000	98.69919	-5.10120	-9.81000
0.53000	98.64818	-5.19930	-9.81000
0.54000	98.59619	-5.29740	-9.81000
0.55000	98.54322	-5.39550	-9.81000
0.56000	98.48926	-5.49360	-9.81000
0.57000	98.43432	-5.59170	-9.81000
0.58000	98.37841	-5.68980	-9.81000
0.59000	98.32151	-5.78790	-9.81000
0.60000	98.26363	-5.88600	-9.81000
0.61000	98.20477	-5.98410	-9.81000
0.62000	98.14493	-6.08220	-9.81000
0.63000	98.08411	-6.18030	-9.81000
0.64000	98.02230	-6.27840	-9.81000
0.65000	97.95952	-6.37650	-9.81000
0.66000	97.89576	-6.47460	-9.81000
0.67000	97.83101	-6.57270	-9.81000
0.68000	97.76528	-6.67080	-9.81000
0.69000	97.69857	-6.76890	-9.81000
0.70000	97.63089	-6.86700	-9.81000
