n	comparacoes
4	12
5	20
6	30
7	42
8	56
9	72
10	90
11	110
12	132
13	156
14	182
15	210
16	240
17	272
18	306
19	342
20	380
21	420
22	462
23	506
24	552
25	600
26	650
27	702
28	756
29	812
30	870
31	930
32	992
33	1056
34	1122
35	1190
36	1260
37	1332
38	1406
39	1482
40	1560
41	1640
42	1722
43	1806
44	1892
45	1980
46	2070
47	2162
48	2256
49	2352
50	2450
51	2550
52	2652
53	2756
54	2862
55	2970
56	3080
57	3192
58	3306
59	3422
60	3540
61	3660
62	3782
63	3906
64	4032
65	4160
66	4290
67	4422
68	4556
69	4692
70	4830
71	4970
72	5112
73	5256
74	5402
75	5550
76	5700
77	5852
78	6006
79	6162
80	6320
81	6480
82	6642
83	6806
84	6972
85	7140
86	7310
87	7482
88	7656
89	7832
90	8010
91	8190
92	8372
93	8556
94	8742
95	8930
96	9120
97	9312
98	9506
99	9702
100	9900
