Origem,Destino,Peso,Emparelhado
1,17,121,Sim
17,16,336,Não
16,15,483,Não
15,14,57,Não
14,12,391,Não
12,15,448,Não
15,17,153,Não
17,13,55,Não
13,11,287,Não
11,12,435,Não
12,16,157,Não
16,8,349,Sim
8,16,349,Sim
16,9,202,Não
9,15,383,Não
15,8,165,Não
8,14,108,Não
14,9,326,Não
9,12,95,Sim
12,9,95,Sim
9,17,236,Não
17,10,390,Não
10,11,154,Não
11,8,250,Não
8,12,314,Não
12,13,254,Não
13,6,83,Não
6,11,208,Não
11,9,352,Não
9,10,495,Não
10,8,402,Não
8,17,36,Não
17,2,518,Não
2,15,420,Não
15,3,53,Não
3,16,472,Não
16,5,528,Não
5,14,243,Não
14,2,466,Não
2,16,745,Não
16,1,246,Não
1,15,268,Não
15,7,207,Não
7,8,29,Não
8,9,249,Não
9,6,264,Não
6,12,329,Não
12,1,324,Não
1,14,211,Não
14,3,74,Não
3,13,191,Não
13,5,346,Não
5,8,309,Não
8,6,34,Não
6,7,63,Não
7,5,351,Não
5,6,267,Não
6,10,360,Não
10,1,505,Não
1,13,70,Não
13,2,567,Não
2,11,282,Não
11,3,110,Não
3,9,372,Não
9,1,259,Não
1,17,121,Sim
17,4,84,Não
4,8,105,Não
8,3,154,Não
3,7,196,Não
7,1,80,Não
1,8,134,Não
8,2,530,Não
2,6,488,Não
6,3,112,Não
3,5,169,Não
5,1,412,Não
1,6,150,Não
6,4,120,Não
4,3,228,Não
3,1,257,Não
1,4,91,Não
4,2,661,Não
2,1,633,Não
