Origem,Destino,Peso
1,24,121
24,20,146
20,15,82
15,17,125
17,18,79
18,20,176
20,8,131
8,11,90
11,22,138
22,10,76
10,20,90
20,19,90
19,22,46
22,7,160
7,17,121
17,10,37
10,11,151
11,10,151
10,5,40
5,19,123
19,18,86
18,4,261
4,18,261
18,14,178
14,15,134
15,24,178
24,22,135
22,12,184
12,19,202
19,11,187
11,14,199
14,10,62
10,4,156
4,19,239
19,8,165
8,14,112
14,5,79
5,4,120
4,14,149
14,12,153
12,11,148
11,24,126
24,10,70
10,12,119
12,7,64
7,24,42
24,19,153
19,21,114
21,22,96
22,23,221
23,24,169
24,18,175
18,16,190
16,22,212
22,9,349
9,18,389
18,21,112
21,24,47
24,12,55
12,16,53
16,24,60
24,17,96
17,23,182
23,14,96
14,21,104
21,17,57
17,9,310
9,15,248
15,9,248
9,24,220
24,8,36
8,16,58
16,11,84
11,9,313
9,19,367
19,13,227
13,23,74
23,2,228
2,19,53
19,13,227
13,16,267
16,7,43
7,9,229
9,8,225
8,21,30
21,20,134
20,6,200
6,24,29
24,3,99
3,16,92
16,6,31
6,9,216
9,12,173
12,13,209
13,14,97
14,2,83
2,24,142
24,5,35
5,6,63
6,7,25
7,2,167
2,12,191
12,3,121
3,21,76
21,1,175
1,16,54
16,1,54
1,23,192
23,4,108
4,6,77
6,13,245
13,1,272
1,9,243
9,3,286
3,4,158
4,2,228
2,3,196
3,6,88
6,1,80
1,3,187
3,2,196
2,1,257
