num_vertices,num_arestas,densidade,grau_medio,grau_minimo,grau_maximo,eh_conexo,num_componentes,tamanho,instancia,id_grafo
5,2,0.2,0.8,0,1,False,3,5,1,n05_i01
5,2,0.2,0.8,0,2,False,3,5,2,n05_i02
5,5,0.5,2.0,0,3,False,2,5,3,n05_i03
6,5,0.3333333333333333,1.6666666666666667,0,4,False,2,6,1,n06_i01
6,2,0.13333333333333333,0.6666666666666666,0,1,False,4,6,2,n06_i02
6,5,0.3333333333333333,1.6666666666666667,0,3,False,2,6,3,n06_i03
7,12,0.5714285714285714,3.4285714285714284,2,5,True,1,7,1,n07_i01
7,5,0.23809523809523808,1.4285714285714286,1,2,False,2,7,2,n07_i02
7,5,0.23809523809523808,1.4285714285714286,0,3,False,2,7,3,n07_i03
8,6,0.21428571428571427,1.5,1,3,False,2,8,1,n08_i01
8,9,0.32142857142857145,2.25,1,3,False,2,8,2,n08_i02
8,7,0.25,1.75,1,3,False,2,8,3,n08_i03
9,9,0.25,2.0,0,3,False,2,9,1,n09_i01
9,9,0.25,2.0,1,3,False,2,9,2,n09_i02
9,14,0.3888888888888889,3.111111111111111,1,5,True,1,9,3,n09_i03
10,8,0.17777777777777778,1.6,0,3,False,2,10,1,n10_i01
10,11,0.24444444444444444,2.2,1,4,True,1,10,2,n10_i02
10,13,0.28888888888888886,2.6,0,4,False,2,10,3,n10_i03
11,17,0.3090909090909091,3.090909090909091,0,4,False,2,11,1,n11_i01
11,20,0.36363636363636365,3.6363636363636362,2,7,True,1,11,2,n11_i02
11,14,0.2545454545454545,2.5454545454545454,1,5,True,1,11,3,n11_i03
12,21,0.3181818181818182,3.5,0,5,False,2,12,1,n12_i01
12,21,0.3181818181818182,3.5,0,5,False,2,12,2,n12_i02
12,20,0.30303030303030304,3.3333333333333335,1,5,True,1,12,3,n12_i03
13,24,0.3076923076923077,3.6923076923076925,1,6,True,1,13,1,n13_i01
13,14,0.1794871794871795,2.1538461538461537,1,4,True,1,13,2,n13_i02
13,30,0.38461538461538464,4.615384615384615,1,7,True,1,13,3,n13_i03
