id_grafo,tamanho,instancia,numero_cromatico,tempo_segundos,arestas
n05_i01,5,1,2,0.0,2
n05_i02,5,2,2,0.0,2
n05_i03,5,3,3,0.0005016326904296875,5
n06_i01,6,1,3,0.0005023479461669922,5
n06_i02,6,2,2,0.0,2
n06_i03,6,3,3,0.0,5
n07_i01,7,1,3,0.0005004405975341797,12
n07_i02,7,2,2,0.0,5
n07_i03,7,3,2,0.0,5
n08_i01,8,1,2,0.0,6
n08_i02,8,2,3,0.0,9
n08_i03,8,3,3,0.0004990100860595703,7
n09_i01,9,1,2,0.0,9
n09_i02,9,2,3,0.0045013427734375,9
n09_i03,9,3,4,0.05001401901245117,14
n10_i01,10,1,2,0.0004985332489013672,8
n10_i02,10,2,2,0.0,11
n10_i03,10,3,3,0.005498647689819336,13
n11_i01,11,1,3,0.04752087593078613,17
n11_i02,11,2,3,0.051529884338378906,20
n11_i03,11,3,3,0.0075016021728515625,14
n12_i01,12,1,3,0.10101842880249023,21
n12_i02,12,2,4,1.3593592643737793,21
n12_i03,12,3,3,0.012499094009399414,20
n13_i01,13,1,4,9.34029507637024,24
n13_i02,13,2,3,0.05801224708557129,14
n13_i03,13,3,4,4.277900218963623,30
