id_instancia,tamanho,num_vertices,num_arestas,num_cores,tempo_execucao,densidade,grafo,coloracao
1,5,5,1,2,3.9577484130859375e-05,0.1,Graph with 5 nodes and 1 edges,"{0: 0, 4: 1, 1: 0, 2: 0, 3: 0}"
2,5,5,1,2,2.86102294921875e-05,0.1,Graph with 5 nodes and 1 edges,"{0: 0, 3: 1, 1: 0, 2: 0, 4: 0}"
3,5,5,3,2,2.9087066650390625e-05,0.3,Graph with 5 nodes and 3 edges,"{2: 0, 0: 1, 1: 0, 3: 1, 4: 1}"
4,6,6,4,2,2.8371810913085938e-05,0.26666666666666666,Graph with 6 nodes and 4 edges,"{2: 0, 4: 1, 5: 0, 0: 1, 3: 1, 1: 0}"
5,6,6,3,2,2.8133392333984375e-05,0.2,Graph with 6 nodes and 3 edges,"{0: 0, 4: 1, 1: 1, 5: 0, 2: 0, 3: 0}"
6,6,6,3,2,2.9087066650390625e-05,0.2,Graph with 6 nodes and 3 edges,"{5: 0, 0: 0, 2: 1, 3: 1, 4: 1, 1: 0}"
7,7,7,13,4,5.91278076171875e-05,0.6190476190476191,Graph with 7 nodes and 13 edges,"{1: 0, 2: 1, 5: 2, 6: 1, 0: 2, 3: 0, 4: 3}"
8,7,7,11,3,3.695487976074219e-05,0.5238095238095238,Graph with 7 nodes and 11 edges,"{5: 0, 2: 1, 4: 2, 3: 0, 0: 1, 1: 1, 6: 2}"
9,7,7,3,2,3.62396240234375e-05,0.14285714285714285,Graph with 7 nodes and 3 edges,"{3: 0, 0: 1, 2: 1, 4: 0, 5: 1, 1: 0, 6: 0}"
10,8,8,14,4,5.078315734863281e-05,0.5,Graph with 8 nodes and 14 edges,"{7: 0, 2: 1, 3: 2, 0: 1, 1: 3, 6: 0, 4: 2, 5: 1}"
11,8,8,12,4,5.030632019042969e-05,0.42857142857142855,Graph with 8 nodes and 12 edges,"{2: 0, 7: 1, 1: 2, 0: 3, 6: 2, 4: 2, 3: 0, 5: 0}"
12,8,8,7,3,4.029273986816406e-05,0.25,Graph with 8 nodes and 7 edges,"{0: 0, 3: 1, 4: 2, 5: 1, 6: 0, 7: 1, 1: 0, 2: 0}"
13,9,9,19,4,5.507469177246094e-05,0.5277777777777778,Graph with 9 nodes and 19 edges,"{5: 0, 7: 1, 8: 2, 2: 3, 3: 1, 0: 0, 4: 3, 6: 2, 1: 0}"
14,9,9,18,4,4.744529724121094e-05,0.5,Graph with 9 nodes and 18 edges,"{2: 0, 4: 1, 0: 2, 1: 3, 8: 2, 5: 1, 6: 3, 7: 3, 3: 0}"
15,9,9,17,3,4.57763671875e-05,0.4722222222222222,Graph with 9 nodes and 17 edges,"{4: 0, 7: 1, 8: 0, 3: 1, 6: 2, 0: 2, 2: 1, 5: 2, 1: 0}"
16,10,10,28,5,0.00010967254638671875,0.6222222222222222,Graph with 10 nodes and 28 edges,"{4: 0, 6: 1, 1: 2, 8: 3, 0: 2, 2: 4, 3: 1, 7: 3, 5: 1, 9: 2}"
