id_instancia,tamanho,num_vertices,num_arestas,num_cores,tempo_execucao,densidade
1,5,5,1,2,4.38690185546875e-05,0.1
2,5,5,1,2,4.458427429199219e-05,0.1
3,5,5,3,2,3.0279159545898438e-05,0.3
4,6,6,4,2,2.5033950805664062e-05,0.26666666666666666
5,6,6,3,2,2.1696090698242188e-05,0.2
6,6,6,3,2,2.1696090698242188e-05,0.2
7,7,7,13,4,4.935264587402344e-05,0.6190476190476191
8,7,7,11,3,3.647804260253906e-05,0.5238095238095238
9,7,7,3,2,3.62396240234375e-05,0.14285714285714285
10,8,8,14,4,5.53131103515625e-05,0.5
11,8,8,12,4,5.936622619628906e-05,0.42857142857142855
12,8,8,7,3,3.600120544433594e-05,0.25
13,9,9,19,4,4.100799560546875e-05,0.5277777777777778
14,9,9,18,4,3.886222839355469e-05,0.5
15,9,9,17,3,3.719329833984375e-05,0.4722222222222222
16,10,10,28,5,0.00011110305786132812,0.6222222222222222
17,10,10,19,3,5.173683166503906e-05,0.4222222222222222
18,10,10,23,5,8.130073547363281e-05,0.5111111111111111
19,11,11,33,5,0.000133514404296875,0.6
20,11,11,37,6,0.0014388561248779297,0.6727272727272727
21,11,11,33,5,0.000274658203125,0.6
22,12,12,46,5,0.0001938343048095703,0.696969696969697
23,12,12,45,6,0.002443075180053711,0.6818181818181818
24,12,12,43,5,0.00018405914306640625,0.6515151515151515
25,13,13,52,7,0.007647275924682617,0.6666666666666666
26,13,13,57,7,0.015540838241577148,0.7307692307692307
27,13,13,54,6,0.002464771270751953,0.6923076923076923
28,14,14,67,6,0.0006594657897949219,0.7362637362637363
29,14,14,65,7,0.004747152328491211,0.7142857142857143
30,14,14,70,7,0.007776498794555664,0.7692307692307693
31,15,15,84,8,0.20494794845581055,0.8
32,15,15,78,8,0.23839449882507324,0.7428571428571429
33,15,15,81,7,0.01604437828063965,0.7714285714285715
34,16,16,98,9,2.131661891937256,0.8166666666666667
35,16,16,103,10,2.8731276988983154,0.8583333333333333
36,16,16,101,8,0.030102252960205078,0.8416666666666667
37,17,17,122,10,2.1785778999328613,0.8970588235294118
38,17,17,116,9,0.6885349750518799,0.8529411764705882
39,17,17,121,10,15.19306755065918,0.8897058823529411
40,18,18,140,11,147.60966730117798,0.9150326797385621
41,18,18,142,12,285.091596364975,0.9281045751633987
42,18,18,137,11,41.09552526473999,0.8954248366013072
43,19,19,156,12,440.78611159324646,0.9122807017543859
44,19,19,150,10,7.384126424789429,0.8771929824561403
45,19,19,157,12,279.9905230998993,0.9181286549707602
46,20,20,172,13,17220.879595518112,0.9052631578947369
47,20,20,173,12,817.6877210140228,0.9105263157894737
48,20,20,168,13,6057.370605230331,0.8842105263157894
